,id,name,symbol,category,description,slug,logo,tags,tag-names,tag-groups,date_added,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,last_updated,buy_percentage,sell_percentage,transaction_frequency,retention_days
0,1.0,Bitcoin,BTC,coin,"Bitcoin (BTC) is a cryptocurrency . Users are able to generate BTC through the process of mining. Bitcoin has a current supply of 18,954,812. The last known price of Bitcoin is 43,611.43874198 USD and is down -2.58 over the last 24 hours. It is currently trading on 9141 active market(s) with $35,125,613,495.04 traded over the last 24 hours. More information can be found at https://bitcoin.org/.",bitcoin,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']","['Mineable', 'PoW', 'SHA-256', 'Store Of Value', 'State Channel', 'Coinbase Ventures Portfolio', 'Three Arrows Capital Portfolio', 'Polychain Capital Portfolio', 'Binance Labs Portfolio', 'Blockchain Capital Portfolio', 'BoostVC Portfolio', 'CMS Holdings Portfolio', 'DCG Portfolio', 'DragonFly Capital Portfolio', 'Electric Capital Portfolio', 'Fabric Ventures Portfolio', 'Framework Ventures Portfolio', 'Galaxy Digital Portfolio', 'Huobi Capital Portfolio', 'Alameda Research Portfolio', 'a16z Portfolio', '1Confirmation Portfolio', 'Winklevoss Capital Portfolio', 'USV Portfolio', 'Placeholder Ventures Portfolio', 'Pantera Capital Portfolio', 'Multicoin Capital Portfolio', 'Paradigm Portfolio']","['OTHERS', 'ALGORITHM', 'ALGORITHM', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY']",2013-04-28T00:00:00.000Z,43601.63879505458,35136322489.0848,49.8865,0.26895253,-2.46935186,14.81589528,0.99369495,-10.51717775,-31.44959539,826460866252.1661,41.7727,915634414696.15,2022-02-11T12:41:00.000Z,0.6109386040993358,0.3890613959006642,5000.0,3.0
1,2.0,Litecoin,LTC,coin,"Litecoin (LTC) is a cryptocurrency . Users are able to generate LTC through the process of mining. Litecoin has a current supply of 84,000,000 with 69,615,831.9948378 in circulation. The last known price of Litecoin is 133.73928507 USD and is down -5.71 over the last 24 hours. It is currently trading on 732 active market(s) with $1,406,433,228.00 traded over the last 24 hours. More information can be found at https://litecoin.org/.",litecoin,https://s2.coinmarketcap.com/static/img/coins/64x64/2.png,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'binance-chain', 'binance-smart-chain']","['Mineable', 'PoW', 'Scrypt', 'Medium of Exchange', 'Binance Chain', 'Binance Smart Chain Ecosystem']","['OTHERS', 'ALGORITHM', 'ALGORITHM', 'INDUSTRY', 'PLATFORM', 'PLATFORM']",2013-04-28T00:00:00.000Z,133.73207109533357,1408006194.411957,45.8632,0.46313528,-5.48752279,18.67789456,-0.89630291,-13.63154045,-45.90967743,9309869393.694447,0.4706,11233493972.01,2022-02-11T12:41:00.000Z,0.5667108708742308,0.43328912912576917,5000.0,3.0
2,52.0,XRP,XRP,coin,"XRP (XRP) is a cryptocurrency . XRP has a current supply of 99,989,769,444 with 47,832,461,678 in circulation. The last known price of XRP is 0.81962809 USD and is down -7.00 over the last 24 hours. It is currently trading on 678 active market(s) with $3,799,565,055.15 traded over the last 24 hours. More information can be found at https://xrpl.org/.",xrp,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']","['Medium of Exchange', 'Enterprise Solutions', 'Binance Chain', 'Arrington XRP Capital Portfolio', 'Galaxy Digital Portfolio', 'a16z Portfolio', 'Pantera Capital Portfolio']","['INDUSTRY', 'INDUSTRY', 'PLATFORM', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY']",2013-08-04T00:00:00.000Z,0.8183311865283075,3791973446.6369553,2.3269,-0.15720492,-7.03184141,32.92399799,5.28621321,-0.76297754,-30.39117238,39142795119.527534,1.9784,81833118652.83,2022-02-11T12:41:00.000Z,0.49658434296382475,0.5034156570361754,5000.0,3.0
3,74.0,Dogecoin,DOGE,coin,"Dogecoin (DOGE) is a cryptocurrency . Users are able to generate DOGE through the process of mining. Dogecoin has a current supply of 132,670,764,299.89409. The last known price of Dogecoin is 0.15310489 USD and is down -3.69 over the last 24 hours. It is currently trading on 445 active market(s) with $993,642,123.42 traded over the last 24 hours. More information can be found at http://dogecoin.com/.",dogecoin,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'binance-smart-chain', 'doggone-doggerel']","['Mineable', 'PoW', 'Scrypt', 'Medium of Exchange', 'Memes', 'Payments', 'Binance Smart Chain Ecosystem', 'Doggone Doggerel']","['OTHERS', 'ALGORITHM', 'ALGORITHM', 'INDUSTRY', 'INDUSTRY', 'INDUSTRY', 'PLATFORM', 'CATEGORY']",2013-12-15T00:00:00.000Z,0.1529739880578703,992592282.451255,7.3931,0.06361628,-3.60959241,9.54971425,-2.37535018,-6.99296501,-40.54025581,20295175913.640522,1.0256,20295175913.64,2022-02-11T12:41:00.000Z,0.5474357714408341,0.45256422855916584,5000.0,3.0
4,131.0,Dash,DASH,coin,"Dash (DASH) is a cryptocurrency launched in 2014. Users are able to generate DASH through the process of mining. Dash has a current supply of 10,573,900.41913704. The last known price of Dash is 113.63853417 USD and is down -2.96 over the last 24 hours. It is currently trading on 325 active market(s) with $204,838,542.20 traded over the last 24 hours. More information can be found at https://www.dash.org/.",dash,https://s2.coinmarketcap.com/static/img/coins/64x64/131.png,"['mineable', 'hybrid-pow-pos', 'x11', 'medium-of-exchange', 'masternodes', 'dao', 'governance']","['Mineable', 'Hybrid - PoW & PoS', 'X11', 'Medium of Exchange', 'Masternodes', 'DAO', 'Governance']","['OTHERS', 'ALGORITHM', 'ALGORITHM', 'INDUSTRY', 'CATEGORY', 'CATEGORY', 'CATEGORY']",2014-02-14T00:00:00.000Z,113.54259565853695,204434778.45740747,8.7075,0.31871231,-2.78479604,14.9635262,-20.16327969,-14.97782315,-47.97817347,1200588099.8237114,0.0607,2145955057.95,2022-02-11T12:41:00.000Z,0.5768119939041029,0.4231880060958972,1856.0,3.0
5,328.0,Monero,XMR,coin,"Monero (XMR) is a cryptocurrency . Users are able to generate XMR through the process of mining. Monero has a current supply of 18,077,168.13252585. The last known price of Monero is 180.02999095 USD and is down -2.23 over the last 24 hours. It is currently trading on 167 active market(s) with $177,349,828.22 traded over the last 24 hours. More information can be found at https://www.getmonero.org/.",monero,https://s2.coinmarketcap.com/static/img/coins/64x64/328.png,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio']","['Mineable', 'PoW', 'Medium of Exchange', 'Privacy', 'RingCT', 'BoostVC Portfolio', 'Electric Capital Portfolio', 'Galaxy Digital Portfolio']","['OTHERS', 'ALGORITHM', 'INDUSTRY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY']",2014-05-21T00:00:00.000Z,180.11054307476968,177209521.25361982,16.1303,0.15442046,-1.94552206,15.14186854,-9.02708084,-6.48526227,-31.49428622,3255888569.603151,0.1645,3255888569.6,2022-02-11T12:41:00.000Z,0.5145731091168971,0.4854268908831028,2126.0,3.0
6,512.0,Stellar,XLM,coin,"Stellar (XLM) is a cryptocurrency . Stellar has a current supply of 50,001,802,216.434555 with 24,892,876,597.866615 in circulation. The last known price of Stellar is 0.22957253 USD and is down -4.61 over the last 24 hours. It is currently trading on 402 active market(s) with $394,341,927.98 traded over the last 24 hours. More information can be found at https://www.stellar.org.",stellar,https://s2.coinmarketcap.com/static/img/coins/64x64/512.png,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange', 'smart-contracts', 'hashkey-capital-portfolio']","['Medium of Exchange', 'Enterprise Solutions', 'Decentralized Exchange', 'Smart Contracts', 'Hashkey Capital Portfolio']","['INDUSTRY', 'INDUSTRY', 'CATEGORY', 'CATEGORY', 'CATEGORY']",2014-08-05T00:00:00.000Z,0.22943105573223893,392344636.1527788,14.3724,0.26731951,-4.5258453,15.33578852,-15.6433509,-13.08518901,-38.65679123,5711198958.060882,0.2886,11471967325.4,2022-02-11T12:41:00.000Z,0.45039240275364706,0.549607597246353,5000.0,3.0
7,825.0,Tether,USDT,token,"Tether (USDT) is a cryptocurrency and operates on the Ethereum platform. Tether has a current supply of 81,074,697,052.59753 with 78,385,451,172.84462 in circulation. The last known price of Tether is 1.0006475 USD and is up -0.00 over the last 24 hours. It is currently trading on 27696 active market(s) with $81,222,627,296.93 traded over the last 24 hours. More information can be found at https://tether.to.",tether,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'binance-smart-chain', 'avalanche-ecosystem', 'solana-ecosystem', 'moonriver-ecosystem']","['Payments', 'Stablecoin', 'Asset-Backed Stablecoin', 'Binance Smart Chain Ecosystem', 'Avalanche Ecosystem', 'Solana Ecosystem', 'Moonriver Ecosystem']","['INDUSTRY', 'CATEGORY', 'CATEGORY', 'PLATFORM', 'PLATFORM', 'PLATFORM', 'CATEGORY']",2015-02-25T00:00:00.000Z,1.0006263206258756,81144662398.71727,32.6498,0.0067255,0.00141438,0.00288201,0.00653389,-0.01819851,-0.01216468,78434545597.68274,3.9636,81125475807.6,2022-02-11T12:41:00.000Z,0.2780013627531506,0.7219986372468492,5000.0,3.0
8,873.0,NEM,XEM,coin,"NEM (XEM) is a cryptocurrency . NEM has a current supply of 8,999,999,999. The last known price of NEM is 0.11543118 USD and is down -2.95 over the last 24 hours. It is currently trading on 120 active market(s) with $29,198,587.79 traded over the last 24 hours. More information can be found at http://nem.io.",nem,https://s2.coinmarketcap.com/static/img/coins/64x64/873.png,"['poi', 'medium-of-exchange', 'payments', 'smart-contracts', 'fantom-ecosystem']","['PoI', 'Medium of Exchange', 'Payments', 'Smart Contracts', 'Fantom Ecosystem']","['ALGORITHM', 'INDUSTRY', 'INDUSTRY', 'CATEGORY', 'PLATFORM']",2015-04-01T00:00:00.000Z,0.11548726692306105,29109729.33272532,4.1767,0.23687642,-2.77799843,9.9456733,-1.82007769,-10.80933698,-38.58826538,1039385402.1920621,0.0525,1039385402.19,2022-02-11T12:41:00.000Z,,,,3.0
9,1027.0,Ethereum,ETH,coin,"Ethereum (ETH) is a cryptocurrency . Users are able to generate ETH through the process of mining. Ethereum has a current supply of 119,535,874.1865. The last known price of Ethereum is 3,113.8406872 USD and is down -4.05 over the last 24 hours. It is currently trading on 5494 active market(s) with $19,539,758,739.69 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.",ethereum,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'binance-smart-chain', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']","['Mineable', 'PoW', 'Smart Contracts', 'Ethereum Ecosystem', 'Binance Smart Chain Ecosystem', 'Coinbase Ventures Portfolio', 'Three Arrows Capital Portfolio', 'Polychain Capital Portfolio', 'Binance Labs Portfolio', 'Blockchain Capital Portfolio', 'BoostVC Portfolio', 'CMS Holdings Portfolio', 'DCG Portfolio', 'DragonFly Capital Portfolio', 'Electric Capital Portfolio', 'Fabric Ventures Portfolio', 'Framework Ventures Portfolio', 'Hashkey Capital Portfolio', 'Kenetic Capital Portfolio', 'Huobi Capital Portfolio', 'Alameda Research Portfolio', 'a16z Portfolio', '1Confirmation Portfolio', 'Winklevoss Capital Portfolio', 'USV Portfolio', 'Placeholder Ventures Portfolio', 'Pantera Capital Portfolio', 'Multicoin Capital Portfolio', 'Paradigm Portfolio']","['OTHERS', 'ALGORITHM', 'CATEGORY', 'PLATFORM', 'PLATFORM', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY']",2015-08-07T00:00:00.000Z,3110.9011029703693,19529456754.10563,40.1932,0.26633161,-4.02268627,9.53661575,-5.94221879,-22.12696884,-32.55701493,371864282851.3101,18.7955,371864282851.31,2022-02-11T12:41:00.000Z,0.5314951382256325,0.46850486177436745,5000,3.0
