,id,name,symbol,category,description,slug,logo,official_website,white_paper,price,date_added,tags,volume_24h,volume_change_24h,last_updated,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,buy_percentage,sell_percentage,transaction_frequency,retention_days,key_metrics,profile_id,is_positive_change
0,1.0,Bitcoin,BTC,coin,"Bitcoin (BTC) is a cryptocurrency . Users are able to generate BTC through the process of mining. Bitcoin has a current supply of 19,047,812. The last known price of Bitcoin is 29,130.16143504 USD and is down -3.55 over the last 24 hours. It is currently trading on 9462 active market(s) with $31,657,510,903.87 traded over the last 24 hours. More information can be found at https://bitcoin.org/.",bitcoin,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,https://bitcoin.org/bitcoin.pdf,https://bitcoin.org/bitcoin.pdf,29147.00456955024,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",31716550775.392746,43.0657,2022-05-24T01:37:00.000Z,-0.27631454,-3.5150401,-2.40008741,-26.3689631,-33.88398254,-23.43941341,555186663403.934,44.2669,612087095960.56,0.6076707707487465,0.3923292292512536,40421.0,3.0,"[{'tag': 'Market cap', 'value': 555.19, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 31.72, 'sign': 'B'}, {'tag': 'Buy', 'value': 0.6076707707487465, 'sign': '%'}, {'tag': 'Sell', 'value': 0.3923292292512536, 'sign': '%'}]",crypto_btc,0.0
1,2.0,Litecoin,LTC,coin,"Litecoin (LTC) is a cryptocurrency . Users are able to generate LTC through the process of mining. Litecoin has a current supply of 84,000,000 with 70,351,093.77791464 in circulation. The last known price of Litecoin is 69.25679669 USD and is down -2.99 over the last 24 hours. It is currently trading on 775 active market(s) with $747,811,913.01 traded over the last 24 hours. More information can be found at https://litecoin.org/.",litecoin,https://s2.coinmarketcap.com/static/img/coins/64x64/2.png,__nan__,,69.26175021839721,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'binance-chain', 'bnb-chain']",748924329.6829821,67.0744,2022-05-24T01:37:00.000Z,-0.16927056,-2.97388416,1.10266432,-34.40500082,-44.97634006,-34.98004814,4872639884.836962,0.3885,5817987018.35,0.5338764757608632,0.46612352423913683,4110.0,3.0,"[{'tag': 'Market cap', 'value': 4.87, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 748.92, 'sign': 'M'}, {'tag': 'Buy', 'value': 0.5338764757608632, 'sign': '%'}, {'tag': 'Sell', 'value': 0.46612352423913683, 'sign': '%'}]",crypto_ltc,False
2,3.0,Namecoin,NMC,coin,"Namecoin (NMC) is a cryptocurrency . Users are able to generate NMC through the process of mining. Namecoin has a current supply of 14,736,400. The last known price of Namecoin is 1.38101589 USD and is up 3.12 over the last 24 hours. It is currently trading on 7 active market(s) with $13,846.30 traded over the last 24 hours. More information can be found at https://www.namecoin.org/.",namecoin,https://s2.coinmarketcap.com/static/img/coins/64x64/3.png,https://www.namecoin.org/resources/whitepaper/,https://www.namecoin.org/resources/whitepaper/,1.377672655096989,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'platform']",13859.18300038,22.2836,2022-05-24T01:37:00.000Z,0.68080487,2.67935503,-33.96615221,-31.36928431,-43.67998372,-37.00465689,20301935.31457127,0.0,20301935.31,__nan__,__nan__,__nan__,3.0,"[{'tag': 'Market cap', 'value': 20.3, 'sign': 'M'}, {'tag': 'Trading volume', 'value': 13.86, 'sign': 'K'}, {'tag': 'Buy', 'value': '__nan__', 'sign': '%'}, {'tag': 'Sell', 'value': '__nan__', 'sign': '%'}]",crypto_nmc,True
3,4.0,Terracoin,TRC,coin,"Terracoin (TRC) is a cryptocurrency launched in 2012. Users are able to generate TRC through the process of mining. Terracoin has a current supply of 22,935,396.430361. The last known price of Terracoin is 0.02499368 USD and is down -2.75 over the last 24 hours. It is currently trading on 2 active market(s) with $954.85 traded over the last 24 hours. More information can be found at http://www.terracoin.io/.",terracoin,https://s2.coinmarketcap.com/static/img/coins/64x64/4.png,https://wiki.terracoin.io/view/Whitepaper,https://wiki.terracoin.io/view/Whitepaper,0.025008129895313952,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'masternodes']",948.19795706,-3.7702,2022-05-24T01:37:00.000Z,-0.27631454,-2.72139188,5.84240526,9.67956527,52.49464329,-23.70485404,573571.3731309877,0.0,1050341.46,__nan__,__nan__,__nan__,3.0,"[{'tag': 'Market cap', 'value': 573.57, 'sign': 'K'}, {'tag': 'Trading volume', 'value': 948.0, 'sign': '2'}, {'tag': 'Buy', 'value': '__nan__', 'sign': '%'}, {'tag': 'Sell', 'value': '__nan__', 'sign': '%'}]",crypto_trc,False
4,5.0,Peercoin,PPC,coin,"Peercoin (PPC) is a cryptocurrency . Users are able to generate PPC through the process of mining. Peercoin has a current supply of 27,557,391.91425235. The last known price of Peercoin is 0.34480398 USD and is down -5.38 over the last 24 hours. It is currently trading on 11 active market(s) with $1,129.51 traded over the last 24 hours. More information can be found at http://www.peercoin.net.",peercoin,https://s2.coinmarketcap.com/static/img/coins/64x64/5.png,https://docs.peercoin.net/,https://docs.peercoin.net/,0.344788493336317,2013-04-28T00:00:00.000Z,"['mineable', 'hybrid-pow-pos', 'sha-256', 'medium-of-exchange', 'store-of-value', 'payments', 'staking']",1126.20590716,-58.0801,2022-05-24T01:37:00.000Z,-0.88570716,-5.39536987,3.27374702,-31.30329979,-39.07257897,-40.99982397,9501471.638393471,0.0008,9501471.64,__nan__,__nan__,__nan__,3.0,"[{'tag': 'Market cap', 'value': 9.5, 'sign': 'M'}, {'tag': 'Trading volume', 'value': 1.13, 'sign': 'K'}, {'tag': 'Buy', 'value': '__nan__', 'sign': '%'}, {'tag': 'Sell', 'value': '__nan__', 'sign': '%'}]",crypto_ppc,False
5,8.0,Feathercoin,FTC,coin,"Feathercoin (FTC) is a cryptocurrency . Users are able to generate FTC through the process of mining. Feathercoin has a current supply of 336,000,000 with 236,600,238 in circulation. The last known price of Feathercoin is 0.00786514 USD and is down -6.99 over the last 24 hours. It is currently trading on 10 active market(s) with $528.05 traded over the last 24 hours. More information can be found at http://feathercoin.com.",feathercoin,https://s2.coinmarketcap.com/static/img/coins/64x64/8.png,https://feathercoin.com/about/,https://feathercoin.com/about/,0.007869691233778566,2013-05-03T00:00:00.000Z,"['mineable', 'pow', 'neoscrypt', 'medium-of-exchange', 'collectibles-nfts', 'payments']",528.0861268,-8.4825,2022-05-24T01:37:00.000Z,-0.27631454,-6.96093153,-51.2000437,-17.16508349,11.83045609,8.77219815,1861970.8188985223,0.0,2644216.25,__nan__,__nan__,__nan__,3.0,"[{'tag': 'Market cap', 'value': 1.86, 'sign': 'M'}, {'tag': 'Trading volume', 'value': 528.0, 'sign': '9'}, {'tag': 'Buy', 'value': '__nan__', 'sign': '%'}, {'tag': 'Sell', 'value': '__nan__', 'sign': '%'}]",crypto_ftc,False
6,13.0,Ixcoin,IXC,coin,"Ixcoin (IXC) is a cryptocurrency . Ixcoin has a current supply of 21,260,226.00000002. The last known price of Ixcoin is 0.03714096 USD and is down -3.55 over the last 24 hours. It is currently trading on 2 active market(s) with $0.00 traded over the last 24 hours. More information can be found at https://www.ixcoin.net/.",ixcoin,https://s2.coinmarketcap.com/static/img/coins/64x64/13.png,https://www.scribd.com/document/357320345/Ixc-White-Paper-v3,https://www.scribd.com/document/357320345/Ixc-White-Paper-v3,0.03716243082617656,2013-05-08T00:00:00.000Z,"['pow', 'sha-256']",0.0,0.0,2022-05-24T01:37:00.000Z,-0.27631454,-3.5150401,-2.40008741,-39.81218476,-35.15544441,-59.15700925,790081.6780738811,0.0001,790081.68,__nan__,__nan__,__nan__,3.0,"[{'tag': 'Market cap', 'value': 790.08, 'sign': 'K'}, {'tag': 'Trading volume', 'value': '__nan__', 'sign': ''}, {'tag': 'Buy', 'value': '__nan__', 'sign': '%'}, {'tag': 'Sell', 'value': '__nan__', 'sign': '%'}]",crypto_ixc,False
7,25.0,Goldcoin,GLC,coin,"Goldcoin (GLC) is a cryptocurrency launched in 2013. Users are able to generate GLC through the process of mining. Goldcoin has a current supply of 44,039,309.99997141 with 43,681,421.99997146 in circulation. The last known price of Goldcoin is 0.02671936 USD and is up 20.08 over the last 24 hours. It is currently trading on 8 active market(s) with $1,592.78 traded over the last 24 hours. More information can be found at https://www.goldcoinproject.org/.",goldcoin,https://s2.coinmarketcap.com/static/img/coins/64x64/25.png,https://github.com/goldcoin/wiki/wiki/GoldCoin-Whitepaper,https://github.com/goldcoin/wiki/wiki/GoldCoin-Whitepaper,0.026732004491399064,2013-06-14T00:00:00.000Z,"['mineable', 'pow', 'scrypt']",1586.5970725,26.7077,2022-05-24T01:37:00.000Z,-2.34767339,20.11420322,-7.31928996,-52.9176324,-78.45424905,-84.84456745,1167691.9690939349,0.0,1931272.38,__nan__,__nan__,__nan__,3.0,"[{'tag': 'Market cap', 'value': 1.17, 'sign': 'M'}, {'tag': 'Trading volume', 'value': 1.59, 'sign': 'K'}, {'tag': 'Buy', 'value': '__nan__', 'sign': '%'}, {'tag': 'Sell', 'value': '__nan__', 'sign': '%'}]",crypto_glc,True
8,35.0,Phoenixcoin,PXC,coin,"Phoenixcoin (PXC) is a cryptocurrency . Users are able to generate PXC through the process of mining. Phoenixcoin has a current supply of 86,379,130.875. The last known price of Phoenixcoin is 0.00640864 USD and is down -7.74 over the last 24 hours. It is currently trading on 2 active market(s) with $22.48 traded over the last 24 hours. More information can be found at http://phoenixcoin.org/.",phoenixcoin,https://s2.coinmarketcap.com/static/img/coins/64x64/35.png,__nan__,,0.006412341005301053,2013-07-04T00:00:00.000Z,"['mineable', 'neoscrypt']",22.48458084,3721526.8605,2022-05-24T01:37:00.000Z,-0.27631454,-7.71003836,7.27229064,-42.14704243,-33.88398254,-39.8452534,553892.4429120288,0.0,628409.42,__nan__,__nan__,__nan__,3.0,"[{'tag': 'Market cap', 'value': 553.89, 'sign': 'K'}, {'tag': 'Trading volume', 'value': 22.4, 'sign': '8'}, {'tag': 'Buy', 'value': '__nan__', 'sign': '%'}, {'tag': 'Sell', 'value': '__nan__', 'sign': '%'}]",crypto_pxc,False
9,41.0,Infinitecoin,IFC,coin,"Infinitecoin (IFC) is a cryptocurrency . Users are able to generate IFC through the process of mining. Infinitecoin has a current supply of 90,595,753,021.14714. The last known price of Infinitecoin is 0.00007283 USD and is down -10.69 over the last 24 hours. It is currently trading on 1 active market(s) with $0.00 traded over the last 24 hours. More information can be found at https://infinitecoin.com/.",infinitecoin,https://s2.coinmarketcap.com/static/img/coins/64x64/41.png,__nan__,,7.28675114238756e-05,2013-07-10T00:00:00.000Z,"['mineable', 'pow', 'scrypt']",0.0,0.0,2022-05-24T01:37:00.000Z,-14.03130564,-10.66207417,-30.28577672,-51.55852835,-48.34686136,-26.38405136,6601487.068223052,0.0005,6601487.07,__nan__,__nan__,__nan__,3.0,"[{'tag': 'Market cap', 'value': 6.6, 'sign': 'M'}, {'tag': 'Trading volume', 'value': '__nan__', 'sign': ''}, {'tag': 'Buy', 'value': '__nan__', 'sign': '%'}, {'tag': 'Sell', 'value': '__nan__', 'sign': '%'}]",crypto_ifc,False
10,42.0,Primecoin,XPM,coin,"Primecoin (XPM) is a cryptocurrency . Users are able to generate XPM through the process of mining. Primecoin has a current supply of 40,793,745.48027372. The last known price of Primecoin is 0.03623792 USD and is down -3.86 over the last 24 hours. It is currently trading on 2 active market(s) with $808.89 traded over the last 24 hours. More information can be found at https://primecoin.io/.",primecoin,https://s2.coinmarketcap.com/static/img/coins/64x64/42.png,http://primecoin.io/bin/primecoin-paper.pdf,http://primecoin.io/bin/primecoin-paper.pdf,0.0362588736845205,2013-07-11T00:00:00.000Z,"['mineable', 'pow', 'multiple-algorithms']",803.25597304,35.1602,2022-05-24T01:37:00.000Z,-0.27631454,-3.82428677,7.35127433,-26.42810449,-45.5027993,-16.01290149,1479135.264487724,0.0,1479135.26,__nan__,__nan__,__nan__,3.0,"[{'tag': 'Market cap', 'value': 1.48, 'sign': 'M'}, {'tag': 'Trading volume', 'value': 803.2, 'sign': '6'}, {'tag': 'Buy', 'value': '__nan__', 'sign': '%'}, {'tag': 'Sell', 'value': '__nan__', 'sign': '%'}]",crypto_xpm,False
11,52.0,XRP,XRP,coin,"XRP (XRP) is a cryptocurrency . XRP has a current supply of 99,989,535,142 with 48,343,101,197 in circulation. The last known price of XRP is 0.40723649 USD and is down -3.93 over the last 24 hours. It is currently trading on 725 active market(s) with $1,415,208,147.73 traded over the last 24 hours. More information can be found at https://xrpl.org/.",xrp,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,https://ripple.com/files/ripple_consensus_whitepaper.pdf,https://ripple.com/files/ripple_consensus_whitepaper.pdf,0.40775236623535166,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",1416773945.2222776,53.8817,2022-05-24T01:37:00.000Z,0.03006414,-3.84464445,-4.67639571,-42.4792913,-51.58509666,-42.87920534,19712013904.23181,1.5718,40775236623.54,0.3081524733193219,0.6918475266806782,1770,3.0,"[{'tag': 'Market cap', 'value': 19.71, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 1.42, 'sign': 'B'}, {'tag': 'Buy', 'value': 0.3081524733193219, 'sign': '%'}, {'tag': 'Sell', 'value': 0.6918475266806782, 'sign': '%'}]",crypto_xrp,False
12,53.0,Quark,QRK,coin,"Quark (QRK) is a cryptocurrency . Users are able to generate QRK through the process of mining. Quark has a current supply of 279,777,475.1309035. The last known price of Quark is 0.00355424 USD and is up 0.58 over the last 24 hours. It is currently trading on 3 active market(s) with $77,409.85 traded over the last 24 hours. More information can be found at http://www.qrknet.info/.",quark,https://s2.coinmarketcap.com/static/img/coins/64x64/53.png,__nan__,,0.0035275327821313943,2013-08-25T00:00:00.000Z,"['mineable', 'pow', 'multiple-algorithms']",77053.37181691,2.7171,2022-05-24T01:37:00.000Z,-0.84366718,0.36376383,-13.21036963,-40.59174627,-49.74186736,-66.26829437,986924.215226213,0.0,986924.22,__nan__,__nan__,__nan__,3.0,"[{'tag': 'Market cap', 'value': 986.92, 'sign': 'K'}, {'tag': 'Trading volume', 'value': 77.05, 'sign': 'K'}, {'tag': 'Buy', 'value': '__nan__', 'sign': '%'}, {'tag': 'Sell', 'value': '__nan__', 'sign': '%'}]",crypto_qrk,True
13,64.0,Public Index Network,PIN,coin,"Public Index Network (PIN) is a cryptocurrency . Users are able to generate PIN through the process of mining. Public Index Network has a current supply of 152,351,008.348. The last known price of Public Index Network is 0.00378692 USD and is down -10.44 over the last 24 hours. It is currently trading on 3 active market(s) with $114.08 traded over the last 24 hours. More information can be found at https://publicindex.network/.",public-index-network,https://s2.coinmarketcap.com/static/img/coins/64x64/64.png,https://docs.publicindex.network/for-users/upgrade-flo-to-pin,https://docs.publicindex.network/for-users/upgrade-flo-to-pin,0.0037891105940415313,2013-11-27T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'bnb-chain']",114.08375669,-70.0093,2022-05-24T01:37:00.000Z,17.85526464,-10.40682295,5.73323864,-56.49075092,-76.12477147,-77.37982669,577274.8197443165,0.0,606257.7,__nan__,__nan__,__nan__,3.0,"[{'tag': 'Market cap', 'value': 577.27, 'sign': 'K'}, {'tag': 'Trading volume', 'value': 114.0, 'sign': '8'}, {'tag': 'Buy', 'value': '__nan__', 'sign': '%'}, {'tag': 'Sell', 'value': '__nan__', 'sign': '%'}]",crypto_pin,False
14,66.0,Nxt,NXT,coin,"Nxt (NXT) is a cryptocurrency . Nxt has a current supply of 998,999,941.50769. The last known price of Nxt is 0.00362822 USD and is up 1.28 over the last 24 hours. It is currently trading on 12 active market(s) with $117,963.01 traded over the last 24 hours. More information can be found at https://www.jelurida.com/nxt.",nxt,https://s2.coinmarketcap.com/static/img/coins/64x64/66.png,https://nxtplatform.org/get-started/developers/,https://nxtplatform.org/get-started/developers/,0.003582894111521395,2013-12-04T00:00:00.000Z,"['hybrid-pos-lpos', 'pos', 'platform', 'enterprise-solutions', 'state-channel']",116249.96788339,10.8399,2022-05-24T01:37:00.000Z,-1.51775502,-0.05236121,1.92190408,-55.11855559,-60.84216356,-62.15856187,3579311.00783812,0.0003,3582894.11,__nan__,__nan__,__nan__,3.0,"[{'tag': 'Market cap', 'value': 3.58, 'sign': 'M'}, {'tag': 'Trading volume', 'value': 116.25, 'sign': 'K'}, {'tag': 'Buy', 'value': '__nan__', 'sign': '%'}, {'tag': 'Sell', 'value': '__nan__', 'sign': '%'}]",crypto_nxt,False
15,74.0,Dogecoin,DOGE,coin,"Dogecoin (DOGE) is a cryptocurrency . Users are able to generate DOGE through the process of mining. Dogecoin has a current supply of 132,670,764,299.89409. The last known price of Dogecoin is 0.08348442 USD and is down -2.76 over the last 24 hours. It is currently trading on 476 active market(s) with $513,562,603.06 traded over the last 24 hours. More information can be found at http://dogecoin.com/.",dogecoin,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,https://github.com/dogecoin/dogecoin/blob/master/README.md,https://github.com/dogecoin/dogecoin/blob/master/README.md,0.08352805953412674,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",514390841.96034044,36.8661,2022-05-24T01:37:00.000Z,-0.12054456,-2.71953352,-5.6717852,-37.86940995,-38.73859949,-36.2052569,11081731498.87965,0.8836,11081731498.88,0.6077872553445741,0.39221274465542594,2763,3.0,"[{'tag': 'Market cap', 'value': 11.08, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 514.39, 'sign': 'M'}, {'tag': 'Buy', 'value': 0.6077872553445741, 'sign': '%'}, {'tag': 'Sell', 'value': 0.39221274465542594, 'sign': '%'}]",crypto_doge,False
