Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
MSFT,Microsoft Corporation,$460.55,,,$3.42T,US,,5326689,Technology,Software - Infrastructure
NVDA,NVIDIA Corporation,$137.2,,,$3.35T,US,,87648143,Technology,Semiconductors
AAPL,Apple Inc.,$200.61,,,$3.00T,US,,14780785,Technology,Consumer Electronics
AMZN,"Amazon.com, Inc.",$205.11,,,$2.18T,US,,11635055,Consumer Cyclical,Specialty Retail
GOOGL,Alphabet Inc.,$168.82,,,$2.06T,US,,16958563,Communication Services,Internet Content & Information
GOOG,Alphabet Inc.,$170.02,,,$2.06T,US,,10241198,Communication Services,Internet Content & Information
META,"Meta Platforms, Inc.",$658.4,,,$1.66T,US,,5207309,Communication Services,Internet Content & Information
VITSX,Vanguard Total Stock Market Index Fund,$141.3,,,$1.20T,US,,,Financial Services,Asset Management
VTSAX,Vanguard Total Stock Market Index Fund,$141.28,,,$1.20T,US,,,Financial Services,Asset Management
AVGO,Broadcom Inc.,$248.56,,,$1.17T,US,,8346275,Technology,Semiconductors
TSLA,"Tesla, Inc.",$336.87,,,$1.08T,US,,45593448,Consumer Cyclical,Auto - Manufacturers
FXAIX,Fidelity 500 Index Fund,$205.65,,,$593.97B,US,,,Financial Services,Asset Management
NFLX,"Netflix, Inc.",$1215.37,,,$517.23B,US,,1075050,Communication Services,Entertainment
COST,Costco Wholesale Corporation,$1047.59,,,$464.80B,US,,894818,Consumer Defensive,Discount Stores
PLTR,Palantir Technologies Inc.,$130.73,,,$308.51B,US,,52612860,Technology,Software - Infrastructure
VIIIX,Vanguard Institutional Index Fund,$481.41,,,$290.08B,US,,,Financial Services,Asset Management
AGTHX,American Funds The Growth Fund of America Class A,$76.89,,,$279.56B,US,,,Financial Services,Asset Management
RGAGX,American Funds The Growth Fund of America Class R-6,$77.08,,,$279.56B,US,,,Financial Services,Asset Management
