,symbol,name,description__profile,ceo__profile,industry__profile,price__profile,currency__profile,mktCap__profile,image__profile,volAvg__profile,pe__quote,change__quote,volume__quote,ebitda__income_statement,netIncome__income_statement,annual_earnings,quaterly_earnings,eps__income_statement,epsdiluted__income_statement,totalAssets__balance_sheet_statement,totalCurrentAssets__balance_sheet_statement,cashAndShortTermInvestments__balance_sheet_statement,totalLiabilities__balance_sheet_statement,netReceivables__balance_sheet_statement,longTermInvestments__balance_sheet_statement,totalCurrentLiabilities__balance_sheet_statement,cashAndCashEquivalents__balance_sheet_statement,freeCashFlow__cash_flow_statement,growthEBITDA__income_statement_growth,growthNetIncome__income_statement_growth,growthEPS__income_statement_growth,dividend__historical-price-full/stock_dividend,date__historical-price-full/stock_dividend,derived__netIncomeMargin,derived__debtRatio
0,DCRBU,Decarbonization Plus Acquisition Corporation Unit,"Decarbonization Plus Acquisition Corporation does not have significant operations. It intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or other business combination with one or more businesses. The company was formerly known as Silver Run Acquisition Corporation III and changed its name to Decarbonization Plus Acquisition Corporation in August 2020. Decarbonization Plus Acquisition Corporation was founded in 2017 and is based in Menlo Park, California.",Mr. Erik J. Anderson,Shell Companies,11.15,USD,2780653900,https://images.financialmodelingprep.com/symbol/DCRBU.png,3615,-15.99713055954089,0.0499992,4754,-180541000,-184042000,"[{'period': '2023', 'revenue': 0.295, 'unit': 'M', 'net_profit': -184.04}, {'period': '2022', 'revenue': 3.73, 'unit': 'M', 'net_profit': -54.51}, {'period': '2021', 'revenue': 6.05, 'unit': 'M', 'net_profit': 69.39}, {'period': '2020', 'revenue': 0.0, 'unit': 'M', 'net_profit': -14.31}]","[{'period': ""Q3 '24"", 'revenue': 0.134, 'unit': 'M', 'net_profit': -41.32}, {'period': ""Q2 '24"", 'revenue': 0.313, 'unit': 'M', 'net_profit': -50.79}, {'period': ""Q1 '24"", 'revenue': 9.98, 'unit': 'M', 'net_profit': -34.23}, {'period': ""Q4 '23"", 'revenue': 0.295, 'unit': 'M', 'net_profit': -49.49}, {'period': ""Q3 '23"", 'revenue': 0.0, 'unit': 'M', 'net_profit': -44.05}, {'period': ""Q2 '23"", 'revenue': 0.046, 'unit': 'M', 'net_profit': -60.25}]",-37.5,-37.5,191135000,152523000,112280000,61135000,2460000,9145000,42553000,112280000,-143455000,-0.044803500020254745,-2.37611212004476,-169.45454545454547,__nan__,__nan__,__nan__,0.31985246030292724
1,DCRBW,Decarbonization Plus Acquisition Corporation Warrant,,,,,,,,,,,,-5476998,-5476998,"[{'period': '2020', 'revenue': 0.0, 'unit': 'M', 'net_profit': -5.48}, {'period': '2019', 'revenue': 0.0, 'unit': 'K', 'net_profit': -216.96}, {'period': '2018', 'revenue': 0.0, 'unit': '', 'net_profit': -462.0}]","[{'period': ""Q2 '21"", 'revenue': 0.0, 'unit': 'M', 'net_profit': -8.18}, {'period': ""Q1 '21"", 'revenue': 0.0, 'unit': 'M', 'net_profit': -1.11}, {'period': ""Q2 '20"", 'revenue': 0.0, 'unit': 'K', 'net_profit': -2.58}, {'period': ""Q1 '20"", 'revenue': 0.0, 'unit': '', 'net_profit': -859.0}]",0.0,0.0,226789721,0,0,221789718,0,0,5072192,0,-1644507,-24.244275442477875,-24.244275442477875,0.0,__nan__,__nan__,__nan__,0.9779531321880325
2,DCRC,Decarbonization Plus Acquisition Corporation III Class A Common Stock,"Decarbonization Plus Acquisition Corp III, a blank check company, intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or related business combination with one or more businesses or entities. The company is based in Menlo Park, California.",Mr. Erik J. Anderson,Shell Companies,13.01,USD,0,https://images.financialmodelingprep.com/symbol/DCRC.png,1965357,0,1.0100002,2175624,,,[],"[{'period': ""Q3 '21"", 'revenue': 0.000628, 'unit': 'M', 'net_profit': 5.79}, {'period': ""Q2 '21"", 'revenue': 0.0, 'unit': 'M', 'net_profit': -44.43}]",,,124.852,111.017,109.272,515.832,0,0,4.481,109.272,,,,,__nan__,__nan__,__nan__,4.131547752539006
3,DCRCU,Decarbonization Plus Acquisition Corporation III Unit,"Decarbonization Plus Acquisition Corp III, a blank check company, intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or related business combination with one or more businesses or entities. The company is based in Menlo Park, California.",Mr. Erik J. Anderson,Shell Companies,14.785,USD,0,https://images.financialmodelingprep.com/symbol/DCRCU.png,15355,0,1.455,29289,,,[],"[{'period': ""Q3 '21"", 'revenue': 0.000628, 'unit': 'M', 'net_profit': 5.79}, {'period': ""Q2 '21"", 'revenue': 0.0, 'unit': 'M', 'net_profit': -44.43}]",,,124.852,111.017,109.272,515.832,0,0,4.481,109.272,,,,,__nan__,__nan__,__nan__,4.131547752539006
4,DCRCW,Decarbonization Plus Acquisition Corporation III Warrant,"Decarbonization Plus Acquisition Corp III, a blank check company, intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or related business combination with one or more businesses or entities. The company is based in Menlo Park, California.",Mr. Erik J. Anderson,Shell Companies,4.69,USD,0,https://images.financialmodelingprep.com/symbol/DCRCW.png,0,0,0.8200002,137613,-77768000,-96520000,"[{'period': '2024', 'revenue': 20.14, 'unit': 'M', 'net_profit': -96.52}, {'period': '2023', 'revenue': 17.41, 'unit': 'M', 'net_profit': -65.55}, {'period': '2022', 'revenue': 11.79, 'unit': 'M', 'net_profit': -9.55}, {'period': '2021', 'revenue': 2.71, 'unit': 'M', 'net_profit': 18.09}]","[{'period': ""Q1 '25"", 'revenue': 6.02, 'unit': 'M', 'net_profit': -15.15}, {'period': ""Q4 '24"", 'revenue': 4.46, 'unit': 'M', 'net_profit': -25.79}, {'period': ""Q3 '24"", 'revenue': 4.65, 'unit': 'M', 'net_profit': -27.25}, {'period': ""Q2 '24"", 'revenue': 5.08, 'unit': 'M', 'net_profit': -22.27}, {'period': ""Q1 '24"", 'revenue': 5.95, 'unit': 'M', 'net_profit': -21.21}, {'period': ""Q4 '23"", 'revenue': 2.35, 'unit': 'M', 'net_profit': -19.04}]",-0.54,-0.54,451531000,125236000,118197000,37970000,1393000,210400000,19970000,25413000,-79841000,-0.47511380880121395,-0.4724862316740149,-0.4594594594594596,__nan__,__nan__,__nan__,0.08409167919810599
5,DCRN,Decarbonization Plus Acquisition Corporation II Class A Common stock,"Decarbonization Plus Acquisition Corporation II is a blank check company. It intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with a target whose principal effort is developing and advancing a platform that decarbonizes the most carbon-intensive sectors. The company was incorporated in 2020 and is based in Menlo Park, California.",Mr. Erik J. Anderson,Shell Companies,9.33,USD,0,https://images.financialmodelingprep.com/symbol/DCRN.png,1007993,0,0.0100002,260368,-83889000,-121370000,"[{'period': '2022', 'revenue': 184.54, 'unit': 'M', 'net_profit': -121.37}, {'period': '2021', 'revenue': 85.82, 'unit': 'M', 'net_profit': -128.92}, {'period': '2020', 'revenue': 56.16, 'unit': 'M', 'net_profit': -63.09}, {'period': '2019', 'revenue': 46.97, 'unit': 'M', 'net_profit': -34.44}]","[{'period': ""Q4 '22"", 'revenue': 55.95, 'unit': 'K', 'net_profit': -32.55}, {'period': ""Q3 '22"", 'revenue': 55.95, 'unit': 'K', 'net_profit': -32.55}, {'period': ""Q2 '22"", 'revenue': 36.32, 'unit': 'K', 'net_profit': -28.14}, {'period': ""Q1 '22"", 'revenue': 36.32, 'unit': 'K', 'net_profit': -28.14}, {'period': ""Q1 '21"", 'revenue': 0.0, 'unit': 'M', 'net_profit': 4.34}]",-156.2,-156.2,275176000,234520000,29421000,418831000,43626000,0,255030000,29421000,-170437000,0.2272924054713766,0.058556147658607345,0.2317529018296282,__nan__,__nan__,__nan__,1.522047707648923
6,DCRNU,Decarbonization Plus Acquisition Corporation II Unit,"As of January 13, 2022, Decarbonization Plus Acquisition Corporation II was acquired by Tritium Pty Ltd., in a reverse merger transaction. Decarbonization Plus Acquisition Corporation II is a blank check company. It intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with a target whose principal effort is developing and advancing a platform that decarbonizes the most carbon-intensive sectors. The company was incorporated in 2020 and is based in Menlo Park, California.",,Shell Companies,9.8,USD,0,https://images.financialmodelingprep.com/symbol/DCRNU.png,12261,0,0.1291,2734,-83889000,-121370000,"[{'period': '2022', 'revenue': 184.54, 'unit': 'M', 'net_profit': -121.37}, {'period': '2021', 'revenue': 85.82, 'unit': 'M', 'net_profit': -128.92}, {'period': '2020', 'revenue': 56.16, 'unit': 'M', 'net_profit': -63.09}, {'period': '2019', 'revenue': 46.97, 'unit': 'M', 'net_profit': -34.44}]","[{'period': ""Q4 '22"", 'revenue': 55.95, 'unit': 'K', 'net_profit': -32.55}, {'period': ""Q3 '22"", 'revenue': 55.95, 'unit': 'K', 'net_profit': -32.55}, {'period': ""Q2 '22"", 'revenue': 36.32, 'unit': 'K', 'net_profit': -28.14}, {'period': ""Q1 '22"", 'revenue': 36.32, 'unit': 'K', 'net_profit': -28.14}, {'period': ""Q1 '21"", 'revenue': 0.0, 'unit': 'M', 'net_profit': 4.34}]",-156.2,-156.2,275176000,234520000,29421000,418831000,43626000,0,255030000,29421000,-170437000,0.2272924054713766,0.058556147658607345,0.2317529018296282,__nan__,__nan__,__nan__,1.522047707648923
7,DCRNW,Decarbonization Plus Acquisition Corporation II Warrant,"Decarbonization Plus Acquisition Corporation II is a blank check company. The company was incorporated in 2020 and is based in Menlo Park, California.",Mr. Erik J. Anderson,Shell Companies,1.27,USD,0,https://images.financialmodelingprep.com/symbol/DCRNW.png,0,0,-0.05000007,187437,-83889000,-121370000,"[{'period': '2022', 'revenue': 184.54, 'unit': 'M', 'net_profit': -121.37}, {'period': '2021', 'revenue': 85.82, 'unit': 'M', 'net_profit': -128.92}, {'period': '2020', 'revenue': 56.16, 'unit': 'M', 'net_profit': -63.09}, {'period': '2019', 'revenue': 46.97, 'unit': 'M', 'net_profit': -34.44}]","[{'period': ""Q4 '22"", 'revenue': 55.95, 'unit': 'K', 'net_profit': -32.55}, {'period': ""Q3 '22"", 'revenue': 55.95, 'unit': 'K', 'net_profit': -32.55}, {'period': ""Q2 '22"", 'revenue': 36.32, 'unit': 'K', 'net_profit': -28.14}, {'period': ""Q1 '22"", 'revenue': 36.32, 'unit': 'K', 'net_profit': -28.14}, {'period': ""Q1 '21"", 'revenue': 0.0, 'unit': 'M', 'net_profit': 4.34}]",-156.2,-156.2,275176000,234520000,29421000,418831000,43626000,0,255030000,29421000,-170437000,0.2272924054713766,0.058556147658607345,0.2317529018296282,__nan__,__nan__,__nan__,1.522047707648923
8,DCT,Duck Creek Technologies Inc. Common Stock,"Duck Creek Technologies, Inc. provides software-as-a-service core systems to the property and casualty insurance industry in the United States and internationally. The company provides Duck Creek Policy, a solution that enables insurers to develop and launch new insurance products and manage various aspects of policy administration ranging from product definition to quoting, binding, and servicing; Duck Creek Billing that provides payment and invoicing capabilities, such as billing and collections, commission processing, disbursement management, and general ledger capabilities for insurance lines and bill types; and Duck Creek Claims that supports entire claims lifecycle from first notice of loss through investigation, payments, negotiations, reporting, and closure. It also offers Duck Creek Rating that allows carriers to develop new rates and models and deliver quotes in real-time based on the complex rating algorithms; Duck Creek Insights, an insurance analytics solution that allows carriers to gather and analyze data from internal and external sources and facilitate analysis and reporting on a single system; Duck Creek Digital Engagement that offer digital interactions between property and casualty insurers and their agents, brokers, and policyholders; and Duck Creek Distribution Management that automates sales channel activities for agents and brokers, including producer onboarding, compliance, and compensation management. In addition, the company provides Duck Creek Reinsurance Management that automates financial and administrative functions; and Duck Creek Industry Content that provides pre-built content, including base business rules, product designs, rating algorithms, data capture screens, and workflows for insurance lines of business, such as commercial auto, inland marine, and workers compensation. It has a partnership with Shift Technologies, Inc. to implement AI fraud detection. The company was founded in 2016 and is based in Boston, Massachusetts.",Mr. Michael A. Jackowski,Software - Application,18.99,USD,2523733020,https://images.financialmodelingprep.com/symbol/DCT.png,1417738,-172.63636363636363,0,1866307,16283000,-8332000,"[{'period': '2022', 'revenue': 302.92, 'unit': 'M', 'net_profit': -8.33}, {'period': '2021', 'revenue': 260.35, 'unit': 'M', 'net_profit': -16.93}, {'period': '2020', 'revenue': 211.67, 'unit': 'M', 'net_profit': -29.93}, {'period': '2019', 'revenue': 171.27, 'unit': 'M', 'net_profit': -16.9}]","[{'period': ""Q1 '23"", 'revenue': 80.59, 'unit': 'M', 'net_profit': -5.16}, {'period': ""Q4 '22"", 'revenue': 80.71, 'unit': 'M', 'net_profit': -2.38}, {'period': ""Q3 '22"", 'revenue': 72.36, 'unit': 'M', 'net_profit': -5.76}, {'period': ""Q2 '22"", 'revenue': 76420.0, 'unit': 'K', 'net_profit': -879.0}, {'period': ""Q1 '22"", 'revenue': 73420.0, 'unit': 'K', 'net_profit': 692.0}, {'period': ""Q4 '21"", 'revenue': 70.85, 'unit': 'M', 'net_profit': -5.56}]",-0.063,-0.063,839676000,348078000,273088000,107270000,61635000,0,78494000,155265000,7600000,1.372923345963276,0.5078849447758549,0.5153846153846154,"[0.36, 0.0175]","['2018-06-28', '2013-04-03']",__nan__,0.1277516565913519
9,DCTH,Delcath Systems Inc. Common Stock,"Delcath Systems, Inc., an interventional oncology company, focuses on the treatment of primary and metastatic liver cancers in the United States and Europe. The company's lead product candidate is HEPZATO KIT, a melphalan for injection/hepatic delivery system to administer high-dose chemotherapy to the liver while controlling systemic exposure and associated side effects. Its clinical development program for HEPZATO is the FOCUS clinical trial for patients with metastatic hepatic dominant Uveal Melanoma to investigate objective response rate in metastatic uveal melanoma. It also provides HEPZATO as a stand-alone medical device under the CHEMOSAT Hepatic Delivery System trade name for Melphalan or CHEMOSAT for medical centers to treat a range of liver cancers in Europe. Delcath Systems, Inc. was incorporated in 1988 and is headquartered in New York, New York.","Mr. Gerard J. Michel MBA, MS",Medical - Specialties,17.24,USD,600403688,https://images.financialmodelingprep.com/symbol/DCTH.png,472498,-38.31,-0.73,524100,-12181000,-26386000,"[{'period': '2024', 'revenue': 37.2, 'unit': 'M', 'net_profit': -26.39}, {'period': '2023', 'revenue': 2.06, 'unit': 'M', 'net_profit': -47.68}, {'period': '2022', 'revenue': 2.72, 'unit': 'M', 'net_profit': -39.16}, {'period': '2021', 'revenue': 3.56, 'unit': 'M', 'net_profit': -26.76}]","[{'period': ""Q1 '25"", 'revenue': 19.78, 'unit': 'M', 'net_profit': 1.07}, {'period': ""Q4 '24"", 'revenue': 15.1, 'unit': 'M', 'net_profit': -3.4}, {'period': ""Q3 '24"", 'revenue': 9.56, 'unit': 'M', 'net_profit': 1.86}, {'period': ""Q2 '24"", 'revenue': 7.77, 'unit': 'M', 'net_profit': -13.74}, {'period': ""Q1 '24"", 'revenue': 3.14, 'unit': 'M', 'net_profit': -11.11}, {'period': ""Q4 '23"", 'revenue': 0.539, 'unit': 'M', 'net_profit': -11.14}]",-0.93,-0.93,76589000,73760000,53233000,7843000,11060000,0,6144000,32412000,-19240000,0.7358330983930081,0.44657913503083185,0.6836734693877551,__nan__,__nan__,__nan__,0.10240373944038961
