,symbol,name,description__profile,ceo__profile,industry__profile,price__profile,currency__profile,mktCap__profile,image__profile,volAvg__profile,ipoDate__profile,pe__quote,change__quote,volume__quote,ebitda__income_statement,netIncome__income_statement,annual_earnings,quaterly_earnings,eps__income_statement,epsdiluted__income_statement,totalAssets__balance_sheet_statement,totalCurrentAssets__balance_sheet_statement,cashAndShortTermInvestments__balance_sheet_statement,totalLiabilities__balance_sheet_statement,netReceivables__balance_sheet_statement,longTermInvestments__balance_sheet_statement,totalCurrentLiabilities__balance_sheet_statement,cashAndCashEquivalents__balance_sheet_statement,freeCashFlow__cash_flow_statement,growthEBITDA__income_statement_growth,growthNetIncome__income_statement_growth,growthEPS__income_statement_growth,dividend__historical-price-full/stock_dividend,date__historical-price-full/stock_dividend,derived__netIncomeMargin,derived__debtRatio
0,SOHO,Sotherly Hotels Inc. Common Stock,,,,,,,,,,-5.487804878048781,0.01,606425.0,,,[],"[{'period': ""Q3 '25"", 'revenue': 38.01, 'unit': 'M', 'net_profit': -5.53}, {'period': ""Q2 '25"", 'revenue': 48.79, 'unit': 'M', 'net_profit': 1.58}, {'period': ""Q1 '25"", 'revenue': 48.31, 'unit': 'M', 'net_profit': 4.68}, {'period': ""Q4 '24"", 'revenue': 43.95, 'unit': 'M', 'net_profit': -1.04}, {'period': ""Q3 '24"", 'revenue': 40.7, 'unit': 'M', 'net_profit': -3.61}, {'period': ""Q2 '24"", 'revenue': 50.69, 'unit': 'M', 'net_profit': 4.62}]",,,,,,,,,,,,,,,,,__nan__,__nan__
1,SOHOB,Sotherly Hotels Inc. 8.0% Series B Cumulative Redeemable Perpetual Preferred Stock,,,,,,,,,,-7.61,0.23,537.4253,,,[],"[{'period': ""Q3 '25"", 'revenue': 38.01, 'unit': 'M', 'net_profit': -5.53}, {'period': ""Q2 '25"", 'revenue': 48.79, 'unit': 'M', 'net_profit': 1.58}, {'period': ""Q1 '25"", 'revenue': 48.31, 'unit': 'M', 'net_profit': 4.68}, {'period': ""Q4 '24"", 'revenue': 43.95, 'unit': 'M', 'net_profit': -1.04}, {'period': ""Q3 '24"", 'revenue': 40.7, 'unit': 'M', 'net_profit': -3.61}, {'period': ""Q2 '24"", 'revenue': 50.69, 'unit': 'M', 'net_profit': 4.62}]",,,,,,,,,,,,,,,,,__nan__,__nan__
2,SOHON,Sotherly Hotels Inc. 8.25% Series D Cumulative Redeemable Perpetual Preferred Stock,,,,,,,,,,-7.74,0.4558,5131.0,,,[],"[{'period': ""Q3 '25"", 'revenue': 38.01, 'unit': 'M', 'net_profit': -5.53}, {'period': ""Q2 '25"", 'revenue': 48.79, 'unit': 'M', 'net_profit': 1.58}, {'period': ""Q1 '25"", 'revenue': 48.31, 'unit': 'M', 'net_profit': 4.68}, {'period': ""Q4 '24"", 'revenue': 43.95, 'unit': 'M', 'net_profit': -1.04}, {'period': ""Q3 '24"", 'revenue': 40.7, 'unit': 'M', 'net_profit': -3.61}, {'period': ""Q2 '24"", 'revenue': 50.69, 'unit': 'M', 'net_profit': 4.62}]",,,,,,,,,,,,,,,,,__nan__,__nan__
3,SOHOO,Sotherly Hotels Inc. 7.875% Series C Cumulative Redeemable Perpetual Preferred Stock,,,,,,,,,,-7.44,-0.16,1374.0,,,[],"[{'period': ""Q3 '25"", 'revenue': 38.01, 'unit': 'M', 'net_profit': -5.53}, {'period': ""Q2 '25"", 'revenue': 48.79, 'unit': 'M', 'net_profit': 1.58}, {'period': ""Q1 '25"", 'revenue': 48.31, 'unit': 'M', 'net_profit': 4.68}, {'period': ""Q4 '24"", 'revenue': 43.95, 'unit': 'M', 'net_profit': -1.04}, {'period': ""Q3 '24"", 'revenue': 40.7, 'unit': 'M', 'net_profit': -3.61}, {'period': ""Q2 '24"", 'revenue': 50.69, 'unit': 'M', 'net_profit': 4.62}]",,,,,,,,,,,,,,,,,__nan__,__nan__
4,SOHU,Sohu.com Limited American Depositary Shares,,,,,,,,,,1.09,-0.52,32969.0,,,[],"[{'period': ""Q4 '25"", 'revenue': 142.88, 'unit': 'M', 'net_profit': 224.26}, {'period': ""Q3 '25"", 'revenue': 180.4, 'unit': 'M', 'net_profit': 8.68}, {'period': ""Q2 '25"", 'revenue': 126.71, 'unit': 'M', 'net_profit': -20.09}, {'period': ""Q1 '25"", 'revenue': 135.65, 'unit': 'M', 'net_profit': 182.16}, {'period': ""Q4 '24"", 'revenue': 134.68, 'unit': 'M', 'net_profit': -21.29}, {'period': ""Q3 '24"", 'revenue': 151.99, 'unit': 'M', 'net_profit': -16.35}]",,,,,,,,,,,,,,,,,__nan__,__nan__
5,SOLO,Electrameccanica Vehicles Corp. Ltd. Common Stock,,,,,,,,,,-0.44208333333333333,-0.0078,409918.0,,,[],"[{'period': ""Q4 '23"", 'revenue': -1.04, 'unit': 'M', 'net_profit': -13.61}, {'period': ""Q3 '23"", 'revenue': 1.04, 'unit': 'M', 'net_profit': -18.8}, {'period': ""Q2 '23"", 'revenue': 0.10400000000000001, 'unit': 'M', 'net_profit': -12.87}, {'period': ""Q1 '23"", 'revenue': 0.50443, 'unit': 'M', 'net_profit': -10.92}, {'period': ""Q4 '22"", 'revenue': 2.79, 'unit': 'M', 'net_profit': -64.03}, {'period': ""Q3 '22"", 'revenue': 1.44, 'unit': 'M', 'net_profit': -21.15}]",,,,,,,,,,,,,,,,,__nan__,__nan__
6,SOLOW,Electrameccanica Vehicles Corp. Ltd. Warrants,,,,,,,,,,0.0,-0.004,52584.0,,,[],"[{'period': ""Q4 '23"", 'revenue': -1.04, 'unit': 'M', 'net_profit': -13.61}, {'period': ""Q3 '23"", 'revenue': 1.04, 'unit': 'M', 'net_profit': -18.8}, {'period': ""Q2 '23"", 'revenue': 0.10400000000000001, 'unit': 'M', 'net_profit': -12.87}, {'period': ""Q1 '23"", 'revenue': 0.50443, 'unit': 'M', 'net_profit': -10.92}, {'period': ""Q4 '22"", 'revenue': 2.79, 'unit': 'M', 'net_profit': -64.03}, {'period': ""Q3 '22"", 'revenue': 1.44, 'unit': 'M', 'net_profit': -21.15}]",,,,,,,,,,,,,,,,,__nan__,__nan__
7,SOLY,Soliton Inc. Common Stock,,,,,,,,,,0.0,0.0,1347169.0,,,[],"[{'period': ""Q3 '21"", 'revenue': 370.0, 'unit': 'K', 'net_profit': -272.0}, {'period': ""Q2 '21"", 'revenue': 0.0, 'unit': 'M', 'net_profit': -7.89}, {'period': ""Q1 '21"", 'revenue': 0.0, 'unit': 'M', 'net_profit': -5.18}, {'period': ""Q4 '20"", 'revenue': 0.0, 'unit': 'M', 'net_profit': -4.54}, {'period': ""Q3 '20"", 'revenue': 0.0, 'unit': 'M', 'net_profit': -3.59}, {'period': ""Q2 '20"", 'revenue': 0.0, 'unit': 'M', 'net_profit': -3.14}]",,,,,,,,,,,,,,,,,__nan__,__nan__
8,SONM,Sonim Technologies Inc. Common Stock,,,,,,,,,,-0.03,0.53,907641.0,,,[],"[{'period': ""Q3 '25"", 'revenue': 16.21, 'unit': 'M', 'net_profit': -4.75}, {'period': ""Q2 '25"", 'revenue': 11.19, 'unit': 'M', 'net_profit': -7.47}, {'period': ""Q1 '25"", 'revenue': 16720.0, 'unit': 'K', 'net_profit': 458.0}, {'period': ""Q4 '24"", 'revenue': 14.98, 'unit': 'M', 'net_profit': -21.61}, {'period': ""Q3 '24"", 'revenue': 15.02, 'unit': 'M', 'net_profit': -2.51}, {'period': ""Q2 '24"", 'revenue': 11.52, 'unit': 'M', 'net_profit': -6.62}]",,,,,,,,,,,,,,,,,__nan__,__nan__
9,SONN,Sonnet BioTherapeutics Holdings Inc. Common Stock,,,,,,,,,,-0.18475073313782991,-1.84,10428964.0,,,[],"[{'period': ""Q4 '25"", 'revenue': 0.0, 'unit': 'M', 'net_profit': -5.69}, {'period': ""Q3 '25"", 'revenue': 0.0, 'unit': 'M', 'net_profit': -3.78}, {'period': ""Q2 '25"", 'revenue': 0.0, 'unit': 'M', 'net_profit': -3.49}, {'period': ""Q1 '25"", 'revenue': 1.0, 'unit': 'M', 'net_profit': -3.16}, {'period': ""Q4 '24"", 'revenue': 0.0, 'unit': 'M', 'net_profit': -3.13}, {'period': ""Q3 '24"", 'revenue': 0.0, 'unit': 'M', 'net_profit': -3.51}]",,,,,,,,,,,,,,,,,__nan__,__nan__
