,symbol,name,description__profile,ceo__profile,industry__profile,price__profile,currency__profile,mktCap__profile,image__profile,volAvg__profile,ipoDate__profile,pe__quote,change__quote,volume__quote,ebitda__income_statement,netIncome__income_statement,annual_earnings,quaterly_earnings,eps__income_statement,epsdiluted__income_statement,totalAssets__balance_sheet_statement,totalCurrentAssets__balance_sheet_statement,cashAndShortTermInvestments__balance_sheet_statement,totalLiabilities__balance_sheet_statement,netReceivables__balance_sheet_statement,longTermInvestments__balance_sheet_statement,totalCurrentLiabilities__balance_sheet_statement,cashAndCashEquivalents__balance_sheet_statement,freeCashFlow__cash_flow_statement,growthEBITDA__income_statement_growth,growthNetIncome__income_statement_growth,growthEPS__income_statement_growth,dividend__historical-price-full/stock_dividend,date__historical-price-full/stock_dividend,derived__netIncomeMargin,derived__debtRatio
0,ETRN,Equitrans Midstream Corporation Common Stock ,,,,,,,,,,13.8,0.07,194201160.0,,,[],"[{'period': ""Q2 '24"", 'revenue': 361.6, 'unit': 'M', 'net_profit': 70.39}, {'period': ""Q1 '24"", 'revenue': 364.27, 'unit': 'M', 'net_profit': 109.0}, {'period': ""Q4 '23"", 'revenue': 360.61, 'unit': 'M', 'net_profit': 148.87}, {'period': ""Q3 '23"", 'revenue': 338.51, 'unit': 'M', 'net_profit': 127.43}, {'period': ""Q2 '23"", 'revenue': 318.47, 'unit': 'M', 'net_profit': 52.62}, {'period': ""Q1 '23"", 'revenue': 376.34, 'unit': 'M', 'net_profit': 101.68}]",,,,,,,,,,,,,,,,,__nan__,__nan__
1,ETV,Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest,,,,,,,,,,7.01,0.04,87852.093,,,[],"[{'period': ""Q4 '25"", 'revenue': 72.11, 'unit': 'M', 'net_profit': 205.86}, {'period': ""Q2 '25"", 'revenue': 136.25, 'unit': 'M', 'net_profit': 31.23}, {'period': ""Q4 '24"", 'revenue': 90.27, 'unit': 'M', 'net_profit': 151.1}, {'period': ""Q2 '24"", 'revenue': 5.2, 'unit': 'M', 'net_profit': 189.99}, {'period': ""Q4 '23"", 'revenue': 5.27, 'unit': 'M', 'net_profit': 65.43}, {'period': ""Q2 '23"", 'revenue': -7.46, 'unit': 'M', 'net_profit': 189.64}]",,,,,,,,,,,,,,,,,__nan__,__nan__
2,ETW,Eaton Vance Corporation Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund Common Shares of Beneficial Interest,,,,,,,,,,4.97,0.02799996,144754.0,,,[],"[{'period': ""Q4 '25"", 'revenue': 43.46, 'unit': 'M', 'net_profit': 123.15}, {'period': ""Q2 '25"", 'revenue': 31.47, 'unit': 'M', 'net_profit': 63.0}, {'period': ""Q4 '24"", 'revenue': 77.85, 'unit': 'M', 'net_profit': 41.68}, {'period': ""Q2 '24"", 'revenue': 17.01, 'unit': 'M', 'net_profit': 69.33}, {'period': ""Q4 '23"", 'revenue': 49.37, 'unit': 'M', 'net_profit': 41.52}, {'period': ""Q2 '23"", 'revenue': 6.51, 'unit': 'M', 'net_profit': 108.01}]",,,,,,,,,,,,,,,,,__nan__,__nan__
3,ETWO,E2open Parent Holdings Inc.Class A Common Stock,,,,,,,,,,-1.6019417475728155,0.0,26635229.0,,,[],"[{'period': ""Q1 '26"", 'revenue': 152.61, 'unit': 'M', 'net_profit': -14.13}, {'period': ""Q4 '25"", 'revenue': 152.68, 'unit': 'M', 'net_profit': -244.19}, {'period': ""Q3 '25"", 'revenue': 151.66, 'unit': 'M', 'net_profit': -346.91}, {'period': ""Q2 '25"", 'revenue': 152.19, 'unit': 'M', 'net_profit': -29.86}, {'period': ""Q1 '25"", 'revenue': 151.16, 'unit': 'M', 'net_profit': -38.86}, {'period': ""Q4 '24"", 'revenue': 158.45, 'unit': 'M', 'net_profit': -42.2}]",,,,,,,,,,,,,,,,,__nan__,__nan__
4,ETX           ,Eaton Vance Municipal Income 2028 Term Trust Common Shares of Beneficial Interest,,,,,,,,,,31.0,0.09,5015.0,,,[],[],,,,,,,,,,,,,,,,,__nan__,__nan__
5,ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,,,,,,,,,,6.85,0.03999989,81889.0,,,[],"[{'period': ""Q4 '25"", 'revenue': 4.75, 'unit': 'M', 'net_profit': 355.64}, {'period': ""Q2 '25"", 'revenue': 400.76, 'unit': 'M', 'net_profit': -100.23}, {'period': ""Q4 '24"", 'revenue': 4.78, 'unit': 'M', 'net_profit': 165.24}, {'period': ""Q2 '24"", 'revenue': 174.4, 'unit': 'M', 'net_profit': 176.08}, {'period': ""Q4 '23"", 'revenue': 77.65, 'unit': 'M', 'net_profit': 40.13}, {'period': ""Q2 '23"", 'revenue': 88.14, 'unit': 'M', 'net_profit': 159.19}]",,,,,,,,,,,,,,,,,__nan__,__nan__
6,EURN,Euronav NV Ordinary Shares,,,,,,,,,,2.866438356164384,-0.22,157488.0,,,[],"[{'period': ""Q2 '24"", 'revenue': 252.0, 'unit': 'M', 'net_profit': 184.37}, {'period': ""Q1 '24"", 'revenue': 240.38, 'unit': 'M', 'net_profit': 495.25}, {'period': ""Q4 '23"", 'revenue': 278.02, 'unit': 'M', 'net_profit': 406.58}, {'period': ""Q3 '23"", 'revenue': 278.38, 'unit': 'M', 'net_profit': 114.58}, {'period': ""Q2 '23"", 'revenue': 348.16, 'unit': 'M', 'net_profit': 161.82}, {'period': ""Q1 '23"", 'revenue': 339.95, 'unit': 'M', 'net_profit': 175.05}]",,,,,,,,,,,,,,,,,__nan__,__nan__
7,EVA,Enviva Partners LP Common units representing limited partner interests,,,,,,,,,,-0.04354771784232365,0.0,135484.0,,,[],"[{'period': ""Q4 '23"", 'revenue': 312.7, 'unit': 'M', 'net_profit': -428.06}, {'period': ""Q3 '23"", 'revenue': 320.64, 'unit': 'M', 'net_profit': -85.19}, {'period': ""Q2 '23"", 'revenue': 301.9, 'unit': 'M', 'net_profit': -55.78}, {'period': ""Q1 '23"", 'revenue': 269.08, 'unit': 'M', 'net_profit': -116.86}, {'period': ""Q4 '22"", 'revenue': 239.31, 'unit': 'M', 'net_profit': -77.42}, {'period': ""Q3 '22"", 'revenue': 325.66, 'unit': 'M', 'net_profit': -18.3}]",,,,,,,,,,,,,,,,,__nan__,__nan__
8,EVC,Entravision Communications Corporation Common Stock,,,,,,,,,,-3.49,-0.00499991,35423.0,,,[],"[{'period': ""Q4 '25"", 'revenue': 134.38, 'unit': 'M', 'net_profit': -17.46}, {'period': ""Q3 '25"", 'revenue': 120.63, 'unit': 'M', 'net_profit': -9.66}, {'period': ""Q2 '25"", 'revenue': 100.73, 'unit': 'M', 'net_profit': -3.34}, {'period': ""Q1 '25"", 'revenue': 91.85, 'unit': 'M', 'net_profit': -47.97}, {'period': ""Q4 '24"", 'revenue': 106.96, 'unit': 'M', 'net_profit': -56.36}, {'period': ""Q3 '24"", 'revenue': 97.16, 'unit': 'M', 'net_profit': -11.98}]",,,,,,,,,,,,,,,,,__nan__,__nan__
9,EVF,Eaton Vance Senior Income Trust Common Stock,,,,,,,,,,24.3,0.01000013,22964.0,,,[],"[{'period': ""Q2 '25"", 'revenue': 4.67, 'unit': 'M', 'net_profit': 3.09}, {'period': ""Q4 '24"", 'revenue': 3.35, 'unit': 'M', 'net_profit': 2.73}, {'period': ""Q2 '24"", 'revenue': 7.96, 'unit': 'M', 'net_profit': 6.58}, {'period': ""Q4 '23"", 'revenue': 7.82, 'unit': 'M', 'net_profit': 5.49}, {'period': ""Q2 '23"", 'revenue': 8.62, 'unit': 'M', 'net_profit': 7.8}, {'period': ""Q4 '22"", 'revenue': 8.26, 'unit': 'M', 'net_profit': 8.31}]",,,,,,,,,,,,,,,,,__nan__,__nan__
