,symbol,name,description__profile,ceo__profile,industry__profile,price__profile,currency__profile,mktCap__profile,image__profile,volAvg__profile,pe__quote,change__quote,volume__quote,ebitda__income_statement,netIncome__income_statement,annual_earnings,quaterly_earnings,eps__income_statement,epsdiluted__income_statement,totalAssets__balance_sheet_statement,totalCurrentAssets__balance_sheet_statement,cashAndShortTermInvestments__balance_sheet_statement,totalLiabilities__balance_sheet_statement,netReceivables__balance_sheet_statement,longTermInvestments__balance_sheet_statement,totalCurrentLiabilities__balance_sheet_statement,cashAndCashEquivalents__balance_sheet_statement,freeCashFlow__cash_flow_statement,growthEBITDA__income_statement_growth,growthNetIncome__income_statement_growth,growthEPS__income_statement_growth,dividend__historical-price-full/stock_dividend,date__historical-price-full/stock_dividend,derived__netIncomeMargin,derived__debtRatio
0,PVH,PVH Corp. Common Stock,"PVH Corp. operates as an apparel company worldwide. The company operates through six segments: Tommy Hilfiger North America, Tommy Hilfiger International, Calvin Klein North America, Calvin Klein International, Heritage Brands Wholesale, and Heritage Brands Retail. It designs, markets, and retails men's, women's, and children's apparel and accessories, including branded dress shirts, neckwear, sportswear, jeans wear, performance apparel, intimate apparel, underwear, swimwear, swim-related products, handbags, accessories, footwear, outerwear, home furnishings, luggage products, sleepwear, loungewear, hats, scarves, gloves, socks, watches and jewelry, eyeglasses and non-ophthalmic sunglasses, fragrance, home bed and bath furnishings, small leather goods, and other products. The company offers its products under its own brands, such as Tommy Hilfiger, Calvin Klein, Van Heusen, IZOD, ARROW, Warner's, Olga, Geoffrey Beene, and True&Co., as well as various other owned, licensed, and private label brands. It also licenses its own brands over various products. The company distributes its products at wholesale in department, chain, and specialty stores, as well as through warehouse clubs, mass market, and off-price and independent retailers; and through company-operated full-price, outlet stores, and concession locations, as well as through digital commerce sites. It markets its products to approximately 40 countries. PVH Corp. was founded in 1881 and is based in New York, New York.",Mr. Stefan  Larsson,Apparel - Manufacturers,86.3,USD,4141770010,https://images.financialmodelingprep.com/symbol/PVH.png,1468920,8.17,0.9,1508280,1084700000,598500000,"[{'period': '2024', 'revenue': 8650.0, 'unit': 'M', 'net_profit': 598.5}, {'period': '2023', 'revenue': 9220.0, 'unit': 'M', 'net_profit': 663.6}, {'period': '2022', 'revenue': 9020.0, 'unit': 'M', 'net_profit': 200.4}, {'period': '2021', 'revenue': 9150.0, 'unit': 'M', 'net_profit': 952.3}]","[{'period': ""Q4 '24"", 'revenue': 2370.0, 'unit': 'M', 'net_profit': 157.2}, {'period': ""Q3 '24"", 'revenue': 2260.0, 'unit': 'M', 'net_profit': 131.9}, {'period': ""Q2 '24"", 'revenue': 2070.0, 'unit': 'M', 'net_profit': 158.0}, {'period': ""Q1 '24"", 'revenue': 1950.0, 'unit': 'M', 'net_profit': 151.4}, {'period': ""Q4 '23"", 'revenue': 2490.0, 'unit': 'M', 'net_profit': 271.8}, {'period': ""Q3 '23"", 'revenue': 2360.0, 'unit': 'M', 'net_profit': 161.6}]",10.69,10.56,11033200000,3487600000,748000000,5892700000,876300000,455900000,2741800000,748000000,582200000,-0.12446525143272258,-0.0981012658227848,-0.017463235294117762,"[0.0375, 0.5]","['2025-06-04', '1984-12-03']",__nan__,0.5340880252329333
1,PVL,Permianville Royalty Trust Trust Units ,"Permianville Royalty Trust operates as a statutory trust. It owns a net profits interest representing the right to receive 80% of the net profits from the sale of oil and natural gas production from properties located in the states of Texas, Louisiana, and New Mexico. The company was formerly known as Enduro Royalty Trust and changed its name to Permianville Royalty Trust in September 2018. Permianville Royalty Trust was incorporated in 2011 and is based in Houston, Texas.",Mr. John W. Arms,Oil & Gas Exploration & Production,1.55,USD,51150000,https://images.financialmodelingprep.com/symbol/PVL.png,66470,17.22,-0.01,24325,2704380,2821500,"[{'period': '2024', 'revenue': 4.26, 'unit': 'M', 'net_profit': 2.82}, {'period': '2023', 'revenue': 10.41, 'unit': 'M', 'net_profit': 14.11}, {'period': '2022', 'revenue': 15.03, 'unit': 'M', 'net_profit': 13.48}, {'period': '2021', 'revenue': 4.2, 'unit': 'M', 'net_profit': 3.12}]","[{'period': ""Q1 '25"", 'revenue': 0.0, 'unit': '', 'net_profit': 0.0}, {'period': ""Q4 '24"", 'revenue': 1.68, 'unit': 'M', 'net_profit': 1.3}, {'period': ""Q3 '24"", 'revenue': 2.41, 'unit': 'M', 'net_profit': 1.52}, {'period': ""Q2 '24"", 'revenue': 18330.0, 'unit': '', 'net_profit': 0.0}, {'period': ""Q1 '24"", 'revenue': 18300.0, 'unit': '', 'net_profit': 0.0}, {'period': ""Q4 '23"", 'revenue': 0.50953, 'unit': 'M', 'net_profit': 5.17}]",0.0855,0.0855,44086189000,2193787000,2193787000,150000,0,0,0,2193787,0,-0.6980602314226231,-0.8000795005494891,-0.8011627906976744,"[0.008548, 0.3147]","['2025-03-31', '2011-11-28']",__nan__,3.402426097660653e-06
2,PWR,Quanta Services Inc. Common Stock,"Quanta Services, Inc. provides specialty contracting services worldwide. The Electric Power Infrastructure Solutions segment engages in the design, procurement, construction, upgrade, repair, and maintenance of electric power transmission and distribution infrastructure and substation facilities; energized installation, maintenance, and upgrade of electric power infrastructure projects; installation of smart grid technologies on electric power networks; and design, installation, maintenance, and repair of commercial and industrial wirings. This segment also offers aviation services; emergency restoration services; and other engineering and technical services; design and construction solutions to wireline and wireless communications, cable multi-system operators, and other customers; and training for electric workers, as well as training for the gas distribution and communications industries. The Renewable Energy Infrastructure Solutions segment is the involved in engineering, procurement, construction, upgrade, repair, and maintenance services to renewable generation facilities, such as wind, solar, and hydropower generation facilities, as well as battery storage facilities; and provision of engineering and construction services for substations and switchyards, transmission, and other electrical infrastructures. The Underground Utility and Infrastructure Solutions segment offers design, engineering, construction, upgrade repair, and maintenance services to customers involved in the transportation, distribution, storage and processing of natural gas, oil, and other products; fabrication of pipeline support systems and related structures and facilities; and engineering and construction of pipeline and storage systems, and compressor and pump stations. The company was formerly known as Fabal Construction, Inc. and changed its name to Quanta Services, Inc. in November 1997. Quanta Services, Inc. was incorporated in 1997 and is headquartered in Houston, Texas.",Mr. Earl C. Austin Jr.,Engineering & Construction,344.79,USD,51097533210,https://images.financialmodelingprep.com/symbol/PWR.png,1708472,55.7,4.42,1063776,2157039000,904824000,"[{'period': '2024', 'revenue': 23670.0, 'unit': 'M', 'net_profit': 904.82}, {'period': '2023', 'revenue': 20880.0, 'unit': 'M', 'net_profit': 744.69}, {'period': '2022', 'revenue': 17070.0, 'unit': 'M', 'net_profit': 491.19}, {'period': '2021', 'revenue': 12980.0, 'unit': 'M', 'net_profit': 485.96}]","[{'period': ""Q1 '25"", 'revenue': 6230.0, 'unit': 'M', 'net_profit': 144.26}, {'period': ""Q4 '24"", 'revenue': 6550.0, 'unit': 'M', 'net_profit': 305.12}, {'period': ""Q3 '24"", 'revenue': 6490.0, 'unit': 'M', 'net_profit': 293.19}, {'period': ""Q2 '24"", 'revenue': 5590.0, 'unit': 'M', 'net_profit': 188.16}, {'period': ""Q1 '24"", 'revenue': 5030.0, 'unit': 'M', 'net_profit': 118.36}, {'period': ""Q4 '23"", 'revenue': 5780.0, 'unit': 'M', 'net_profit': 210.91}]",6.16,6.03,18683894000,7851033000,741960000,11354177000,6379554000,0,6028513000,741960000,1477118000,0.21820566125006988,0.21503607546237422,0.2007797270955166,"[0.1, 0.04]","['2025-04-03', '2018-12-31']",__nan__,0.6076986414074068
3,PXD,Pioneer Natural Resources Company Common Stock,"Pioneer Natural Resources Company operates as an independent oil and gas exploration and production company in the United States. The company explores for, develops, and produces oil, natural gas liquids (NGLs), and gas. It has operations in the Midland Basin in West Texas. As of December 31, 2021, the company had proved undeveloped reserves and proved developed non-producing reserves of 130 million barrels of oil, 92 million barrels of NGLs, and 462 billion cubic feet of gas; and owned interests in 11 gas processing plants. Pioneer Natural Resources Company was founded in 1997 and is headquartered in Irving, Texas.",Mr. Richard P. Dealy,Oil & Gas Exploration & Production,269.62,USD,63003455657,https://images.financialmodelingprep.com/symbol/PXD.png,2057623,13.334322453016815,1.96,4426409,9355000000,4885000000,"[{'period': '2023', 'revenue': 19.37, 'unit': 'B', 'net_profit': 4.88}, {'period': '2022', 'revenue': 24.38, 'unit': 'B', 'net_profit': 7.83}, {'period': '2021', 'revenue': 17.87, 'unit': 'B', 'net_profit': 2.11}, {'period': '2020', 'revenue': 7020.0, 'unit': 'M', 'net_profit': -200.0}]","[{'period': ""Q1 '24"", 'revenue': 4.9, 'unit': 'B', 'net_profit': 1.09}, {'period': ""Q4 '23"", 'revenue': 5.08, 'unit': 'B', 'net_profit': 1.26}, {'period': ""Q3 '23"", 'revenue': 5.14, 'unit': 'B', 'net_profit': 1.3}, {'period': ""Q2 '23"", 'revenue': 4.56, 'unit': 'B', 'net_profit': 1.1}, {'period': ""Q1 '23"", 'revenue': 4.6, 'unit': 'B', 'net_profit': 1.22}, {'period': ""Q4 '22"", 'revenue': 5.17, 'unit': 'B', 'net_profit': 1.48}]",20.88,20.2,36613000000,2605000000,379000000,13442000000,1590000000,-4402000000,2974000000,240000000,3877000000,-0.27016695272273367,-0.37611749680715195,-0.36009806926141597,"[2.56, 0.05]","['2024-03-01', '1997-09-12']",__nan__,0.36713735558408217
4,PYN,PIMCO New York Municipal Income Fund III Common Shares of Beneficial Interest,"PIMCO New York Municipal Income Fund III is a close ended fixed income mutual fund launched and managed by Allianz Global Investors Fund Management LLC. The fund is co-managed by Pacific Investment Management Co LLC. It invests in fixed income markets. The fund seeks to invest in stocks of companies operating across diversified sectors. It invests in a portfolio of New York municipal bonds, and other municipal bonds and notes; New York variable rate notes and other variable rate notes; New York variable rate demand notes and other variable rate demand notes; U.S. treasury bills; and call options written and put options written. PIMCO New York Municipal Income Fund III was on October 31, 2002 and is domiciled in United States.",Mr. David  Hammer,Asset Management - Income,5.4,USD,31042278,https://images.financialmodelingprep.com/symbol/PYN.png,16538,-54.0,-0.0005,20637,0,-183000,"[{'period': '2024', 'revenue': -89.0, 'unit': 'K', 'net_profit': -183.0}, {'period': '2023', 'revenue': 1.46, 'unit': 'M', 'net_profit': 4.53}, {'period': '2022', 'revenue': -11.51, 'unit': 'M', 'net_profit': -11.55}, {'period': '2021', 'revenue': 2.85, 'unit': 'M', 'net_profit': 2.77}]","[{'period': ""Q4 '24"", 'revenue': 1490.0, 'unit': 'K', 'net_profit': -176.0}, {'period': ""Q2 '24"", 'revenue': 1300.0, 'unit': 'K', 'net_profit': -7.0}, {'period': ""Q4 '23"", 'revenue': 0.31, 'unit': 'M', 'net_profit': 1.8}, {'period': ""Q2 '23"", 'revenue': 1.15, 'unit': 'M', 'net_profit': 2.73}, {'period': ""Q4 '22"", 'revenue': 1.51, 'unit': 'M', 'net_profit': -1.13}, {'period': ""Q2 '22"", 'revenue': 1.64, 'unit': 'M', 'net_profit': -10.42}]",-0.11,-0.11,63975000,1604000,1604000,26242000,626000,61726000,0,1604000,3396000,-1.0,-1.0404151943462898,-1.2244897959183674,"[0.0248, 0.08]","['2025-05-12', '2002-12-24']",__nan__,0.4101914810472841
5,PYS,Merrill Lynch Depositor Inc PPlus Tr Ser RRD-1 Tr Ctf Cl A,,None,,20.86,USD,0,https://images.financialmodelingprep.com/symbol/PYS.png,0,,0.015,554,,,[],[],,,,,,,,,,,,,,,"[0.788, 0.1838]","['2009-10-09', '2006-04-11']",__nan__,__nan__
6,PYT,PPlus Tr GSC-2 Tr Ctf Fltg Rate,,None,Financial - Credit Services,22.75,USD,0,https://images.financialmodelingprep.com/symbol/PYT.png,424,,-0.1728,5801,,,[],[],,,,,,,,,,,,,,,"[0.32457, 0.06]","['2025-05-14', '2004-08-11']",__nan__,__nan__
7,PZC,PIMCO California Municipal Income Fund III Common Shares of Beneficial Interest,"PIMCO California Municipal Income Fund III is a closed ended fixed income mutual fund launched and managed by Allianz Global Investors Fund Management LLC. It is co-managed by Pacific Investment Management Company LLC. The fund invests in fixed income markets. It seeks to invest in stocks of companies operating across diversified sectors. Its investment portfolio include California municipal bonds, and other municipal bonds and notes; California variable rate notes and other variable rate notes; California variable rate demand notes and other variable rate demand notes; U.S. treasury bills; and call options written and put options written. PIMCO California Municipal Income Fund III was formed on October 31, 2002 and is domiciled in United States.",Mr. David  Hammer,Asset Management - Income,6.38,USD,143788612,https://images.financialmodelingprep.com/symbol/PZC.png,71609,26.58,-0.02,107785,6191000,1746000,"[{'period': '2024', 'revenue': 1.95, 'unit': 'M', 'net_profit': 1.75}, {'period': '2023', 'revenue': 12.81, 'unit': 'M', 'net_profit': 17.2}, {'period': '2022', 'revenue': 14.12, 'unit': 'M', 'net_profit': -45.88}, {'period': '2021', 'revenue': 14.88, 'unit': 'M', 'net_profit': 8.37}]","[{'period': ""Q4 '24"", 'revenue': 6.46, 'unit': 'M', 'net_profit': 1.11}, {'period': ""Q2 '24"", 'revenue': 5790.0, 'unit': 'K', 'net_profit': 631.0}, {'period': ""Q4 '23"", 'revenue': 2.85, 'unit': 'M', 'net_profit': 9.43}, {'period': ""Q2 '23"", 'revenue': 6.2, 'unit': 'M', 'net_profit': 7.76}, {'period': ""Q4 '22"", 'revenue': 6.8, 'unit': 'M', 'net_profit': -2.65}, {'period': ""Q2 '22"", 'revenue': 7.31, 'unit': 'M', 'net_profit': -43.22}]",0.0103,0.0103,290986000,497000,497000,119620000,3337000,287073000,0,497000,14300000,-0.257673860911271,-0.8984647592463364,-0.9798039215686275,"[0.0295, 0.08]","['2025-05-12', '2002-12-24']",__nan__,0.4110850693847814
8,PZN,Pzena Investment Management Inc Class A Common Stock,"Pzena Investment Management, Inc. is a employee owned investment manager. The firm manages equity mutual funds for its clients. It invests in the public equity markets. The firm provides its services to Individuals, high net worth individuals, investment companies, pooled investment vehicles, charitable organizations, pension and profit sharing plans, state or municipal government entities, charitable organizations, other investment advisers, insurance companies, sovereign wealth funds and foreign official institutions, corporations or other businesses. The firm uses a combination of fundamental analysis to make its investments. The firm employs a combination of in-house and external research to make its investments. Pzena Investment Management, Inc. was founded in 1995 and is based in New York City with additional offices in Melbourne, Australia and London, United Kingdom.",Mr. Richard Pzena,Asset Management,9.65,USD,0,https://images.financialmodelingprep.com/symbol/PZN.png,146295,13.985507246376812,0.04,1482165,27659000,106477000,"[{'period': '2021', 'revenue': 199.33, 'unit': 'M', 'net_profit': 106.48}, {'period': '2020', 'revenue': 138.62, 'unit': 'M', 'net_profit': 8.87}, {'period': '2019', 'revenue': 150.75, 'unit': 'M', 'net_profit': 8.46}, {'period': '2018', 'revenue': 153.58, 'unit': 'M', 'net_profit': 13.79}]","[{'period': ""Q3 '22"", 'revenue': 45.24, 'unit': 'M', 'net_profit': 15.79}, {'period': ""Q2 '22"", 'revenue': 48.7, 'unit': 'M', 'net_profit': 14.44}, {'period': ""Q1 '22"", 'revenue': 52.76, 'unit': 'M', 'net_profit': 18.48}, {'period': ""Q4 '21"", 'revenue': 50.96, 'unit': 'M', 'net_profit': 25.67}, {'period': ""Q3 '21"", 'revenue': 51.62, 'unit': 'M', 'net_profit': 5.07}, {'period': ""Q2 '21"", 'revenue': 50.88, 'unit': 'M', 'net_profit': 4.6}]",1.35,1.35,128834000,129207000,176639000,86246000,45318000,95506000,44167000,81133000,76336000,0.9219651170870683,10.998760423709713,11.272727272727273,"[0.03, 0.11]","['2022-08-04', '2007-12-26']",__nan__,0.6694350870111927
9,QD,Qudian Inc. American Depositary Shares each representing one Class A Ordinary Share,"Qudian Inc. operates as a consumer-oriented technology company in the People's Republic of China. The company provides small cash credit products to consumers; and financial leasing and financing guarantee services, as well as technology development and services. It also offers ready-to-cook meal products for working-class consumers. The company was founded in 2014 and is headquartered in Xiamen, the People's Republic of China.",Mr. Min  Luo,Financial - Credit Services,2.93,USD,483819177,https://images.financialmodelingprep.com/symbol/QD.png,490387,41.86,0.11,467698,213002411,91731395,"[{'period': '2024', 'revenue': 216.43, 'unit': 'M', 'net_profit': 91.73}, {'period': '2023', 'revenue': 126.34, 'unit': 'M', 'net_profit': 39.13}, {'period': '2022', 'revenue': 577.49, 'unit': 'M', 'net_profit': -361.96}, {'period': '2021', 'revenue': 1650.0, 'unit': 'M', 'net_profit': 589.07}]","[{'period': ""Q4 '24"", 'revenue': 52.24, 'unit': 'M', 'net_profit': -66.36}, {'period': ""Q3 '24"", 'revenue': 55.02, 'unit': 'M', 'net_profit': 131.91}, {'period': ""Q2 '24"", 'revenue': 53.33, 'unit': 'M', 'net_profit': 99.79}, {'period': ""Q1 '24"", 'revenue': 55.85, 'unit': 'M', 'net_profit': -73.61}, {'period': ""Q4 '23"", 'revenue': 63.79, 'unit': 'M', 'net_profit': -117.07}, {'period': ""Q3 '23"", 'revenue': 29.6, 'unit': 'M', 'net_profit': -181.23}]",0.5,0.49,12464227285,10139522498,7390877689,1172798255,266013355,225088097,1124092207,4263311636,-428998805,0.4921680697441269,1.3440608067673103,1.777777777777778,__nan__,__nan__,__nan__,0.09409313776004366
