,Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry,description__profile,ceo__profile,industry__profile,pe__quote,ebitda__income-statement,netIncome__income-statement,revenue__income-statement,eps__income-statement,epsdiluted__income-statement,totalAssets__balance-sheet-statement,totalLiabilities__balance-sheet-statement,cashAndShortTermInvestments__balance-sheet-statement,freeCashFlow__cash-flow-statement,growthEBITDA__income-statement-growth,growthNetIncome__income-statement-growth,growthEPS__income-statement-growth,derived__netIncomeMargin,derived__debtRatio
0,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,$204.16,1.35,0.666%,13323685760.0,United States,,513082,Consumer Services,Other Specialty Stores,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its Website. It serves professional installers and do-it-yourself customers. Advance Auto Parts, Inc. operates its stores under the Advance Auto Parts, Autopart International, Carquest, and Worldpac brand names. As of December 28, 2019, it operated 4,877 stores and 160 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,253 independently owned Carquest branded stores in Mexico, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina.",Mr. Thomas Greco,Specialty Retail,28.016806,999988000.0,493021000.0,10106321000.0,7.171423168673998,7.171423168673998,9407320000.0,-3564650000.0,834992000.0,702112000.0,0.09222533752898528,0.012579688475567678,0.0481793753789579,0.04878342969711728,-0.37892300889094876
1,AAT,American Assets Trust Inc. Common Stock,$34.86,1.1,3.258%,2108063890.0,United States,2011.0,312110,Consumer Services,Real Estate Investment Trusts,"American Assets Trust, Inc. is a full service, vertically integrated and self-administered real estate investment trust, or REIT, headquartered in San Diego, California. The company has over 50 years of experience in acquiring, improving, developing and managing premier office, retail, and residential properties throughout the United States in some of the nation's most dynamic, high-barrier-to-entry markets primarily in Southern California, Northern California, Oregon, Washington, Texas and Hawaii. The company's office portfolio comprises approximately 3.4 million rentable square feet, and its retail portfolio comprises approximately 3.1 million square feet. In addition, the company owns one mixed-use property (including approximately 97,000 rentable square feet of retail space and a 369-room all-suite hotel) and 2,112 multifamily units. In 2011, the company was formed to succeed to the real estate business of American Assets, Inc., a privately held corporation founded in 1967 and, as such, has significant experience, long-standing relationships and extensive knowledge of its core markets, submarkets and asset classes.",Mr. Ernest Rady,REIT Diversified,125.231316,196873000.0,27660000.0,344573000.0,0.511171962628118,0.511171962628118,2817309000.0,1563903000.0,137333000.0,63497000.0,-0.062018200009528804,-0.3949866573340916,-0.3949866573340915,0.08027326575210478,0.5551052440467127
2,AB,AllianceBernstein Holding L.P.  Units,$46.30,1.15,2.547%,4652680009.0,United States,,757419,Finance,Investment Managers,"AllianceBernstein Holding L.P. is publicly owned investment manager. The firm also provides research services to its clients. It provides its services to investment companies, pension and profit sharing plans, banks and thrift institutions, trusts, estates, government agencies, charitable organizations, individuals, corporations, and other business entities. The firm invests in public equity, fixed income, and alternative investment markets across the globe. It employs long/short strategy to make its investments. The firm conducts in-house research to make its investments. AllianceBernstein Holding L.P. was founded in 1987 and is based in New York, New York.",Mr. Seth Bernstein,Asset Management,14.203656,907436.0,279380000.0,308404000.0,2.9137411230391383,2.9137411230391383,1606033000.0,1876000.0,1753.478,270014000.0,0.0,0.171095266239945,0.17109526623994617,0.9058896771766903,0.001168095549717845
3,ABBV,AbbVie Inc. Common Stock,$116.08,0.3,0.259%,204860979444.0,United States,2012.0,5801679,Health Care,Other Pharmaceuticals,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the United States, Japan, Germany, Canada, France, Spain, Italy, the Netherlands, the United Kingdom, Brazil, and internationally. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal Behçet's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), mantle cell lymphoma, waldenström's macroglobulinemia, marginal zone lymphoma, and chronic graft versus host disease; VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; VIEKIRA PAK, an interferon-free therapy to treat adults with genotype 1 chronic hepatitis C virus (HCV); TECHNIVIE to treat adults with genotype 4 HCV infection; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides SYNAGIS that protects at-risk infants from severe respiratory disease; KALETRA, a prescription anti-HIV-1 medicine; CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; AndroGel for males diagnosed with symptomatic low testosterone; and Lupron, a product for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; and Sevoflurane, an anesthesia product. It has collaborations with Calico Life Sciences LLC; Alector, Inc.; Janssen Biotech, Inc.; Jacobio Pharmaceuticals; I-Mab; and Genmab A/S. The company was incorporated in 2012 and is based in North Chicago, Illinois.",Mr. Richard Gonzalez,Drug Manufacturers General,40.236866,19032000000.0,4616000000.0,45804000000.0,2.73,2.72,150565000000.0,137468000000.0,8479000000.0,16790000000.0,0.2688,-0.41436183709718344,-0.48776605206098167,0.10077722469653305,0.9130143127552884
4,ABC,AmerisourceBergen Corporation Common Stock,$117.63,-1.19,-1.002%,24079584425.0,United States,,1650693,Health Care,Other Pharmaceuticals,"AmerisourceBergen Corporation sources and distributes pharmaceutical products in the United States and internationally. Its Pharmaceutical Distribution segment distributes brand-name and generic pharmaceuticals, over-the-counter healthcare products, home healthcare supplies and equipment, outsourced compounded sterile preparations, and related services to various healthcare providers, including acute care hospitals and health systems, independent and chain retail pharmacies, mail order pharmacies, medical clinics, long-term care and other alternate site pharmacies, and other customers. It also provides pharmacy management, staffing, and other consulting services; supply management software to retail and institutional healthcare providers; and packaging solutions to various institutional and retail healthcare providers. In addition, this segment distributes plasma and other blood products, injectable pharmaceuticals, vaccines, and other specialty products; provides other services primarily to physicians who specialize in various disease states, primarily oncology, as well as to other healthcare providers, including hospitals and dialysis clinics; and offers data analytics, outcomes research, and additional services for biotechnology and pharmaceutical manufacturers. The company's Other segment provides integrated manufacturer services, such as clinical trial support, product post-approval, and commercialization support; offers specialty transportation and logistics services for the biopharmaceutical industry; and sells pharmaceuticals, vaccines, parasiticides, diagnostics, micro feed ingredients, and various other products to customers in both the companion animal and production animal markets, as well as provides demand-creating sales force services to manufacturers. AmerisourceBergen Corporation was founded in 1985 and is headquartered in Chesterbrook, Pennsylvania.",Mr. Steven Collis,Medical Distribution,,2424667000.0,-3408716000.0,189893926000.0,-16.65,-16.65,44274830000.0,45114466000.0,4597746000.0,1837363000.0,-0.020258978084729134,-4.985101097192427,-5.09090909090909,-0.017950632080775453,1.018964183487548
5,ABG,Asbury Automotive Group Inc Common Stock,$209.17,3.58,1.741%,4045202636.0,United States,2002.0,92034,Consumer Services,Other Specialty Stores,"Asbury Automotive Group, Inc., together with its subsidiaries, operates as an automotive retailer in the United States. It offers a range of automotive products and services, including new and used vehicles; and vehicle repair and maintenance services, replacement parts, and collision repair services. The company also provides finance and insurance products, including arranging vehicle financing through third parties; and aftermarket products, such as extended service contracts, guaranteed asset protection debt cancellation, prepaid maintenance, and credit life and disability insurance. As of December 31, 2019, the company owned and operated 107 new vehicle franchises representing 31 brands of automobiles at 88 dealership locations; and 25 collision centers in the United States. Asbury Automotive Group, Inc. was founded in 1996 and is headquartered in Duluth, Georgia.",Mr. David Hult,Auto & Truck Dealerships,11.900549,432300000.0,254400000.0,7131800000.0,13.319371727748692,13.319371727748692,3676300000.0,2770800000.0,1400000.0,603700000.0,0.17377138202552267,0.3796095444685466,0.38024577489623834,0.03567121904708489,0.75369257133531
6,ABM,ABM Industries Incorporated Common Stock,$52.28,-0.15,-0.286%,3507449307.0,United States,,352358,Technology,Diversified Commercial Services,"ABM Industries Incorporated provides integrated facility solutions in the United States and internationally. The company operates through Business & Industry, Aviation, Technology & Manufacturing, Education, and Technical Solutions segments. It provides janitorial, facilities engineering, parking, custodial, landscaping and ground, and mechanical and electrical services; and vehicle maintenance and other services to rental car providers. The company was founded in 1909 and is headquartered in New York, New York.",Mr. Scott Salmirs,Specialty Business Services,73.61549,324500000.0,300000.0,5987600000.0,0.0045045045045045045,0.0045045045045045045,3776900000.0,2276500000.0,405200000.0,419500000.0,0.16642703091301222,-0.9976452119309263,-0.9976416206782699,5.010354733115105e-05,0.6027429902830364
7,ABR,Arbor Realty Trust Common Stock,$17.25,-0.59,-3.307%,2306153535.0,United States,2004.0,2226871,Consumer Services,Real Estate Investment Trusts,"Arbor Realty Trust, Inc. invests in a diversified portfolio of structured finance assets in the multifamily, single-family rental, and commercial real estate markets. The company operates in two segments, Structured Business and Agency Business. It primarily invests in real estate-related bridge and mezzanine loans, including junior participating interests in first mortgages, and preferred and direct equity, as well as real estate-related notes and various mortgage-related securities. The company offers bridge financing products to borrowers who seek short-term capital to be used in an acquisition of property; financing by making preferred equity investments in entities that directly or indirectly own real property; mezzanine financing in the form of loans that are subordinate to a conventional first mortgage loan and senior to the borrower's equity in a transaction; and junior participation financing in the form of a junior participating interest in the senior debt. In addition, it underwrites, originates, sells, and services multifamily mortgage loans through conduit/commercial mortgage-backed securities programs. The company qualifies as a real estate investment trust for federal income tax purposes. It generally would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its stockholders. The company was founded in 2003 and is headquartered in Uniondale, New York.",Mr. Ivan Kaufman,REIT Mortgage,7.2089252,11616000.0,170949000.0,434133000.0,1.8411045433954865,1.8411045433954865,7660986000.0,6178301000.0,339528000.0,55165000.0,-0.3240223463687151,0.3290185651646609,0.4162342641503769,0.39377103330085483,0.8064629017726961
8,ABT,Abbott Laboratories Common Stock,$118.79,0.28,0.236%,210439972437.0,United States,,4305330,Health Care,Medical/Dental Instruments,"Abbott Laboratories discovers, develops, manufactures, and sells health care products worldwide. Its Established Pharmaceutical Products segment offers generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency; irritable bowel syndrome or biliary spasm; intrahepatic cholestasis or depressive symptom; gynecological disorder; hormone replacement therapy; dyslipidemia; hypertension; hypothyroidism; Ménière's disease and vestibular vertigo; pain, fever, and inflammation; migraine; and anti-infective clarithromycin, as well as provides influenza vaccines and products that regulate physiological rhythm of the colon. The company's Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automates the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detects and measures infectious agents; cartridges for blood analysis; rapid diagnostics systems; molecular point-of-care testing for HIV, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test systems, as well as remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. Its Nutritional Products segment provides pediatric and adult nutritional products. The company's Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases, as well as neuromodulation devices for the management of chronic pain and movement disorders. This segment also provides glucose and blood glucose monitoring systems. Abbott Laboratories has an agreement with Tandem Diabetes Care to develop and commercialize integrated diabetes solutions. The company was founded in 1888 and is headquartered in North Chicago, Illinois.",Mr. Robert Ford,Medical Devices,36.659355,7489000000.0,4495000000.0,34608000000.0,2.537784,2.5,72548000000.0,39545000000.0,7148000000.0,5724000000.0,0.15785405071119357,0.21914835909953892,0.21314147686015308,0.12988326398520572,0.5450873904173789
9,ACC,American Campus Communities Inc Common Stock,$45.84,0.6,1.326%,6319767905.0,United States,2004.0,916935,Consumer Services,Real Estate Investment Trusts,"American Campus Communities, Inc. is the largest owner, manager and developer of high-quality student housing communities in the United States. The company is a fully integrated, self-managed and self-administered equity real estate investment trust (REIT) with expertise in the design, finance, development, construction management and operational management of student housing properties. As of September 30, 2020, American Campus Communities owned 166 student housing properties containing approximately 111,900 beds. Including its owned and third-party managed properties, ACC's total managed portfolio consisted of 204 properties with approximately 139,900 beds.",Mr. William Bayless,REIT Residential,1197.4359,406522000.0,72803000.0,870584000.0,0.5302637107634953,0.5302637107634953,7531160000.0,4374623000.0,54017000.0,290707000.0,-0.13909483844871803,-0.1431816309477574,-0.13071522825656556,0.08362547439419976,0.5808697464932361
