,Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry,description__profile,ceo__profile,industry__profile,pe__quote,ebitda__income-statement,netIncome__income-statement,revenue__income-statement,eps__income-statement,epsdiluted__income-statement,totalAssets__balance-sheet-statement,totalLiabilities__balance-sheet-statement,cashAndShortTermInvestments__balance-sheet-statement,freeCashFlow__cash-flow-statement,growthEBITDA__income-statement-growth,growthNetIncome__income-statement-growth,growthEPS__income-statement-growth,derived__netIncomeMargin,derived__debtRatio
0,AAPL,Apple Inc. Common Stock,$129.74,1.64,1.28%,2249346491600.0,United States,1980.0,77964582,Technology,Computer Manufacturing,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch, and other Apple-branded and third-party accessories. It also provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store, that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It sells and delivers third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1977 and is headquartered in Cupertino, California.",Mr. Timothy Cook,Consumer Electronics,28.381659,77344000000.0,57411000000.0,274515000000.0,3.31,3.28,323888000000.0,258549000000.0,90943000000.0,73365000000.0,0.011336741765498124,0.039000289561314606,0.10609857978279026,0.20913611278072236,0.7982666847799239
1,ABCB,Ameris Bancorp Common Stock,$57.00,0.77,1.369%,3973665282.0,United States,1994.0,289168,Finance,Major Banks,"Ameris Bancorp operates as the bank holding company for Ameris Bank that provides banking services to retail and commercial customers primarily in Georgia, Alabama, Florida, and South Carolina. The company operates through five segments: Banking Division, Retail Mortgage Division, Warehouse Lending Division, SBA Division, and Premium Finance Division. It offers commercial and retail checking, regular interest-bearing savings, money market, individual retirement, and certificates of deposit accounts. The company also provides commercial real estate, residential real estate mortgage, agricultural, and commercial and industrial loans; consumer loans, including motor vehicle, home improvement, and home equity loans, as well as loans secured by savings accounts and small unsecured personal credit lines; and municipal and commercial insurance premium finance loans. It operates 170 domestic banking offices and 31 mortgage and loan production offices. Ameris Bancorp was founded in 1971 and is headquartered in Atlanta, Georgia.",Mr. Dennis Zember,Banks Regional,10.696573,55111000.0,261988000.0,1079147000.0,4.481327803668894,4.481327803668894,20438638000.0,17791550000.0,3080434000.0,780280000.0,0.0,0.6228095712984929,0.6236694940829313,0.24277322737310117,0.8704860862059399
2,ABMD,ABIOMED Inc. Common Stock,$295.72,-5.07,-1.686%,13387524743.0,United States,,463038,Health Care,Medical/Dental Instruments,"Abiomed, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides a continuum of care to heart failure patients. The company offers Impella 2.5 catheter, a percutaneous micro heart pump with integrated motor and sensors for use in interventional cardiology; and Impella CP, a device used by interventional cardiologists to support patients in the cath lab and cardiac surgeons in the heart surgery suite. It also provides Impella 5.0 and Impella LD, which are percutaneous micro heart pumps with integrated motors and sensors for use primarily in the heart surgery suite; Impella RP, a percutaneous catheter-based axial flow pump; Impella SmartAssist platform that includes optical sensor technology for improved pump positioning and the use of algorithms that enable improved native heart assessment during the weaning process; and Impella Connect, a cloud-based technology that enables secure, cloud-based, and remote viewing of the Automated Impella Controller for physicians and hospital staffs. In addition, the company engages in the development of Impella XR Sheath, a sheath designed to expand and recoil to all for ease of use upon insertion of an Impella heart pump and minimize the size of the arteriotomy; Impella BTR, a percutaneous micro heart pumps with integrated motors and sensors; and Impella ECP pump that is designed for blood flow of greater than three liters per minute. It sells its products through direct sales and clinical support personnel in the United States, Canada, Europe, and Asia. The company was founded in 1981 and is headquartered in Danvers, Massachusetts.",Mr. Michael Minogue,Medical Devices,54.240894,269649000.0,203009000.0,840883000.0,4.49,4.43,1216462000.0,150996000.0,443116000.0,270914000.0,0.12855486684551737,-0.21622988541248417,-0.2218370883882148,0.24142359876463193,0.12412718194238702
3,ACAD,ACADIA Pharmaceuticals Inc. Common Stock,$20.95,1.55,7.99%,3355740266.0,United States,1985.0,2700880,Health Care,Major Pharmaceuticals,"ACADIA Pharmaceuticals Inc., a biopharmaceutical company, focuses on the development and commercialization of small molecule drugs that address unmet medical needs in central nervous system disorders. The company offers NUPLAZID (pimavanserin) for the treatment of hallucinations and delusions associated with Parkinson's disease psychosis. It is also developing pimavanserin as a treatment for dementia-related psychosis and as an adjunctive treatment for schizophrenia that are in Phase III clinical trials; and pimavanserin as an adjunctive treatment for major depressive disorder. ACADIA Pharmaceuticals Inc. was founded in 1993 and is headquartered in San Diego, California.",Mr. Stephen Davis,Biotechnology,,-283654000.0,-281584000.0,441755000.0,-1.79,-1.79,782616000.0,155607000.0,631958000.0,-143753000.0,0.1635702829201859,0.19691063891285773,0.11874999999999997,-0.6374211950062818,0.19882931092643136
4,ACHC,Acadia Healthcare Company Inc. Common Stock,$63.83,1.07,1.705%,5707137002.0,United States,,386904,Health Care,Hospital/Nursing Management,"Acadia Healthcare Company, Inc. develops and operates inpatient psychiatric facilities, residential treatment centers, group homes, substance abuse facilities, and outpatient behavioral healthcare facilities to serve the behavioral health and recovery needs of communities in the United States, the United Kingdom, and Puerto Rico. The company operates acute inpatient psychiatric facilities, which cares to stabilize patients that are either threat to themselves or others by hourly observation, daily intervention, and monitoring by psychiatrists; and specialty treatment facilities, including residential recovery and eating disorder facilities, and comprehensive treatment centers that provide continuum care for adults with addictive disorders and co-occurring mental disorders. It also provides residential treatment centers, which treat patients with behavioral disorders in a non-hospital setting, including outdoor programs; and outpatient community-based services, such as community-based programs that are designed to offer therapeutic treatment to children and adolescents who have a clinically-defined emotional, psychiatric, or chemical dependency disorders. In addition, the company provides mental health rehabilitation services comprising relapse prevention and social integration services, as well as vocational opportunities; acute services for patients at risk to themselves or others, as well as crisis intervention and treatment of behavioral emergencies; and long-term and non-acute care services for adults suffering from mental illness, addiction, learning disability, or brain injury. Further, it provides education and children's services for children and young people with special educational needs; adult care services; and care first services for employees. As of December 31, 2019, the company operated a network of 585 behavioral healthcare facilities with 18,200 beds. The company was founded in 2005 and is headquartered in Franklin, Tennessee.",Ms. Debra Osteen,Medical Care Facilities,,428043000.0,-672132000.0,2089929000.0,-7.671688809752089,-7.671688809752089,6499362000.0,4599906000.0,378697000.0,442192000.0,-0.2471666056956326,-7.170707747674963,-7.170707747674943,-0.3216051837167674,0.7077473142748473
5,ACIW,ACI Worldwide Inc. Common Stock,$37.56,0.4,1.076%,4437057414.0,United States,,666430,Technology,EDP Services,"ACI Worldwide, Inc. develops, markets, installs, and supports a range of software products and solutions for facilitating electronic payments to banks, financial intermediaries, merchants, and billers worldwide. The company offers UP Retail Payments solution that enables banks and financial intermediaries to accept, authorize, route, and secure payment transactions; and ACI Card and Merchant Management solutions, such as credit, debit, smart card, and prepaid card issuance and management, as well as merchant account management and settlement. It also provides UP Immediate Payments solution that enables banks and payment service providers to meet real-time payment schemes and create various products; and UP Real-Time Payments solution that allows banks to address real-time gross settlement, SWIFT messaging, automated clearing house, and real-time payments. The company offers ACI ReD Shield, a real-time fraud prevention solution; Postilion; ACI PAY.ON Payments Gateway; UP eCommerce Payments solution; UP Payments Risk Management solution; and ACI Universal Online Banker platform. It also provides ACI Speedpay solutions that enable customers to electronically present bills and collect payments from consumers through a single and integrated platform that controls bill payments operation. The company offers electronic bill presentment and payment services to consumer finance, insurance, healthcare, higher education, utility, government, and mortgage sectors; implementation services, including product installations and configurations, and custom software modifications; and business and technical consultancy, and on-site support services, as well as distributes or acts as a sales agent for software developed by third parties. It markets its products under the ACI brand. The company was formerly known as Transaction Systems Architects, Inc. and changed its name to ACI Worldwide, Inc. in July 2007. The company was founded in 1975 and is headquartered in Naples, Florida.",Mr. Odilon Almeida,Software Infrastructure,49.577114,276535000.0,72660000.0,1294322000.0,0.6254357650096837,0.6254357650096837,3386903000.0,2180306000.0,165374000.0,289669000.0,0.1753043079120057,0.08347499328979154,0.07833752587876561,0.05613749901492828,0.6437462188908274
6,ACVA,ACV Auctions Inc. Class A Common Stock,$33.00,-0.45,-1.345%,5086985079.0,United States,2021.0,275869,Technology,EDP Services,"ACV Auctions, Inc., operates a digital marketplace that connects buyers and sellers for the online auction of wholesale vehicles. It also provides data services that offer transparent and accurate vehicle information to customers. ACV Auctions, Inc. was incorporated in 2014 and is based in Buffalo, New York.",Mr. George G. Chamoun,Software—Application,,-77996000.0,-77216000.0,106847000.0,-0.577318,-0.577318,304518000.0,410660000.0,182275000.0,-79053000.0,0.0,0.0,0.0,-0.7226782221307103,1.3485573923380556
7,ADBE,Adobe Inc. Common Stock,$483.61,-3.08,-0.633%,231165580000.0,United States,1986.0,2537057,Technology,Computer Software: Prepackaged Software,"Adobe Inc. operates as a diversified software company worldwide. Its Digital Media segment provides tools and solutions that enable individuals, teams, and enterprises to create, publish, promote, and monetize their digital content. Its flagship product is Creative Cloud, a subscription service that allows customer to download and access the latest versions of its creative products. This segment serves content creators, experience designers, app developers, enthusiasts, students, social media users, and creative professionals, as well as marketing departments and agencies, companies and publishers. The company's Digital Experience segment offers products, services, and solutions for creating, managing, executing, measuring, monetizing and optimizing customer experiences from advertising to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, marketing executives, information management and technology executives, product development executives, and sales and support executives. Its Publishing segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as publishing needs of technical and business, and original equipment manufacturers (OEMs) printing businesses. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end-users through app stores and through its Website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and OEMs. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. The company was founded in 1982 and is headquartered in San Jose, California.",Mr. Shantanu Narayen,Software Infrastructure,42.028557,4399000000.0,5260000000.0,12868000000.0,10.94,10.83,24284000000.0,11020000000.0,5992000000.0,5308000000.0,0.09843462453711681,0.7821700325737314,0.8220821702430996,0.4087659309916071,0.4537967385933125
8,ADI,Analog Devices Inc. Common Stock,$155.42,1.49,0.968%,57412701606.0,United States,,4775091,Technology,Semiconductors,"Analog Devices, Inc. designs, manufactures, and markets integrated circuits (ICs), algorithms, software, and subsystems that leverage analog, mixed-signal, and digital signal processing technologies. The company offers data converter products, which translate real-world analog signals into digital data, as well as translates digital data into analog signals; high-performance amplifiers to condition analog signals; and radio frequency and microwave ICs to support cellular infrastructure. It also provides power management and reference products for power management and conversion applications in the automotive, communications, industrial, and high-end consumer markets; and microelectromechanical systems technology solutions, including accelerometers used to sense acceleration, gyroscopes to sense rotation, and inertial measurement units to sense multiple degrees of freedom. In addition, the company offers isolators for various applications, such as universal serial bus isolation in patient monitors; and smart metering and satellite applications, as well as digital signal processing products for high-speed numeric calculations. The company serves clients in industrial, automotive, consumer, and communications markets through a direct sales force, third-party distributors, and independent sales representatives in the United States, the rest of North and South America, Europe, Japan, China, and the rest of Asia, as well as through its Website. It has a strategic collaboration with Pinpoint Science Inc. to advance the development and manufacture of novel nanosensor diagnostics. Analog Devices, Inc. was founded in 1965 and is headquartered in Norwood, Massachusetts.",Mr. Vincent Roche,Semiconductors,39.273403,1980036000.0,1220761000.0,5603056000.0,3.31,3.28,21468603000.0,9470658000.0,1142589000.0,1842795000.0,-0.21485063201392307,-0.10436452823931722,-0.09450272880219947,0.217874138684318,0.441139928853312
9,ADPT,Adaptive Biotechnologies Corporation Common Stock,$36.60,1.14,3.215%,5124155587.0,United States,2019.0,1239174,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),"Adaptive Biotechnologies Corporation, a commercial-stage company, develops an immune medicine platform for the diagnosis and treatment of various diseases. The company offers immunoSEQ research service and kit that is used to answer research questions, as well as to discover new prognostic and diagnostic signals. It also provides clonoSEQ diagnostic tests, which include immunosequencing services for use in the detection and monitoring of minimal residual disease in patients with select blood cancers. In addition, the company offers a pipeline of clinical products and services that are used for the diagnosing, monitoring, and treatment of diseases, such as cancer, autoimmune conditions, and infectious diseases. Adaptive Biotechnologies Corporation has strategic collaborations with Genentech, Inc. for the development, manufacture, and commercialization of neoantigen directed T cell therapies for the treatment of a range of cancers; Microsoft Corporation to develop diagnostic tests for the early detection of various diseases from a single blood test; and Amgen to develop a therapeutic to prevent or treat COVID-19. It serves the life sciences research, clinical diagnostics, and drug discovery customers. The company was formerly known as Adaptive TCR Corporation and changed its name to Adaptive Biotechnologies Corporation in December 2011. Adaptive Biotechnologies Corporation was founded in 2009 and is headquartered in Seattle, Washington.",Mr. Chad Robins,Biotechnology,,-151114000.0,-146227000.0,98382000.0,-1.11,-1.11,1116414000.0,373148000.0,688269000.0,-168486000.0,0.9703753927998644,1.1314025012389588,0.0990099009900991,-1.4863186355227582,0.3342380156465254
10,ADSK,Autodesk Inc. Common Stock,$284.35,3.27,1.163%,62441068799.0,United States,,1131030,Technology,Computer Software: Prepackaged Software,"Autodesk, Inc. operates as a software design and services company worldwide. The company offers AutoCAD, a professional design, drafting, detailing, and visualization software; AutoCAD Civil 3D, a surveying, design, analysis, and documentation solution for civil engineering, including land development, transportation, and environmental projects; AutoCAD LT, a drafting and detailing software; BIM 360, a construction management cloud-based software; computer-aided manufacturing (CAM) software for computer numeric control machining, inspection, and modelling for manufacturing; Fusion 360, a 3D CAD, CAM, and computer-aided engineering tool; and Industry Collections software products for professionals in architecture, engineering and construction, product design and manufacturing, and media and entertainment industries. It also provides Inventor tools for 3D mechanical design, simulation, analysis, tooling, visualization, and documentation; Maya and 3ds Max software products that offer 3D modeling, animation, effects, rendering, and compositing solutions; and PlanGrid, a cloud-based field collaboration software, which provides general contractors, subcontractors, owners, and architects access to construction information in real-time. In addition, the company offers Revit software for building information modeling; Shotgun, a cloud-based software for review and production tracking in the media and entertainment industry; Vault, a data management software to manage data in one central location, accelerate design processes, and streamline internal/external collaboration; and BuildingConnected, a construction management solution that centralizes and streamlines the bidding process. Autodesk, Inc. sells its products and services to customers directly, as well as through distributors and resellers. The company was founded in 1982 and is headquartered in San Rafael, California.",Dr. Andrew Anagnost,Software Application,50.51103,666600000.0,1208200000.0,3790400000.0,5.51,5.44,7279800000.0,6314300000.0,1857200000.0,1341300000.0,0.7432008368200836,4.632634032634033,4.622448979591836,0.3187526382439848,0.8673727300200555
11,ADV,Advantage Solutions Inc. Class A Common Stock,$12.96,0.29,2.289%,4127111559.0,United States,2019.0,276889,Technology,Advertising,"Advantage Solutions Inc. provides promotions agency services to clients worldwide. It offers sales agency, marketing agency, technology agency, retail agency, international, and business services. Advantage Solutions Inc. was formerly known as Karman Holding Corp. and changed its name to Advantage Solutions Inc. in March 2016. The company was founded in 1987 and is based in Irvine, California.",Ms. Tanya L. Domier,Advertising Agencies,,391408000.0,32149000.0,2100235000.0,0.102573,0.102573,5949800000.0,4213955000.0,40268000.0,129652000.0,0.06197245005657045,0.30718874522241196,0.3071952897996636,0.015307334655407609,0.708251537866819
12,AEIS,Advanced Energy Industries Inc. Common Stock,$90.41,-3.27,-3.491%,3469549297.0,United States,1995.0,671337,Consumer Durables,Electrical Products,"Advanced Energy Industries, Inc. designs, manufactures, sells, and supports precision power conversion, measurement, and control solutions worldwide. It offers process power solutions, including direct current (DC), pulsed DC, low frequency alternating current, high voltage, and radio frequency (RF) power supplies, as well as RF matching networks and remote plasma sources for reactive gas applications and RF instrumentation. The company also provides power control modules and thermal instrumentation products for rapid thermal processing, chemical vapor deposition, crystal growing, and other semiconductor and adjacent thin film applications, as well as in chemical processing, metal and glass manufacturing, and other general industrial power applications; and high voltage products for semiconductor wafer processing and metrology, electrostatic clamping of substrates, scientific instrumentation, mass spectrometry, and analytical X-ray systems for industrial and analytical applications. In addition, it offers gas detection and monitoring products for the automotive, energy, environmental control, aerospace, medical, and research industries; and embedded IEC 60601-1 for medical equipment or IEC 60950-1 for information technology equipment. Further, the company provides amplifiers, power supplies and generators, and electrostatic discharge sensors and monitors; electrostatic detection and measurement instrumentation products; and photonic-based measurement and monitoring solutions. In addition, it offers repair services, conversions, upgrades, and refurbishments and used equipment to companies. The company provides its products through direct sales force, independent sales representatives, channel partners, and distributors. Advanced Energy Industries, Inc. was founded in 1981 and is headquartered in Denver, Colorado.",Mr. Yuval Wasserman,Electrical Equipment & Parts,23.25385,209318000.0,134675000.0,1415826000.0,3.52,3.5,1647662000.0,832322000.0,483022000.0,164753000.0,1.9236807553705617,1.0738054541814879,1.0705882352941176,0.0951211518929586,0.505153362764936
