,symbol,name,description__profile,ceo__profile,industry__profile,price__profile,currency__profile,mktCap__profile,image__profile,volAvg__profile,pe__quote,change__quote,volume__quote,ebitda__income_statement,netIncome__income_statement,annual_earnings,quaterly_earnings,eps__income_statement,epsdiluted__income_statement,totalAssets__balance_sheet_statement,totalCurrentAssets__balance_sheet_statement,cashAndShortTermInvestments__balance_sheet_statement,totalLiabilities__balance_sheet_statement,netReceivables__balance_sheet_statement,longTermInvestments__balance_sheet_statement,totalCurrentLiabilities__balance_sheet_statement,cashAndCashEquivalents__balance_sheet_statement,freeCashFlow__cash_flow_statement,growthEBITDA__income_statement_growth,growthNetIncome__income_statement_growth,growthEPS__income_statement_growth,dividend__historical-price-full/stock_dividend,date__historical-price-full/stock_dividend,derived__netIncomeMargin,derived__debtRatio
0,JHS,John Hancock Income Securities Trust Common Stock,"John Hancock Income Securities Trust is a closed ended fixed income mutual fund launched and managed by John Hancock Investment Management LLC. It is co-managed by John Hancock Asset Management. The fund invests in the fixed income markets of United States. It invests primarily in corporate and government bonds with average maturity of 7.57 years. The fund benchmarks the performance of its portfolios against the Lehman Brothers Government/ Credit Bond Index. John Hancock Income Securities Trust was formed in February 14, 1973 and is domiciled in United States.",Mr. Howard C. Greene C.F.A.,Asset Management - Income,11.68,USD,136032288,https://images.financialmodelingprep.com/symbol/JHS.png,16020,584,0,3603,-3994974,273289,"[{'period': '2023', 'revenue': 10970.0, 'unit': 'K', 'net_profit': 273.29}, {'period': '2022', 'revenue': -42.0, 'unit': 'M', 'net_profit': -42.26}, {'period': '2021', 'revenue': 10.0, 'unit': 'M', 'net_profit': 9.67}, {'period': '2020', 'revenue': 13.48, 'unit': 'M', 'net_profit': 13.16}]","[{'period': ""Q2 '24"", 'revenue': 4.01, 'unit': 'M', 'net_profit': 11.33}, {'period': ""Q4 '23"", 'revenue': 0.24641, 'unit': 'M', 'net_profit': -10.97}, {'period': ""Q3 '23"", 'revenue': 2.78, 'unit': 'M', 'net_profit': -5.49}, {'period': ""Q2 '23"", 'revenue': -3.24, 'unit': 'M', 'net_profit': 11.25}, {'period': ""Q1 '23"", 'revenue': 2.7, 'unit': 'M', 'net_profit': 5.62}, {'period': ""Q4 '22"", 'revenue': -2.34, 'unit': 'M', 'net_profit': -17.44}]",0.0235,0.0235,230906287,16947221,36563,103274109,9927563,220927228,102694378,36563,4844432,0.9015111153010591,1.0064667555043285,1.006473829201102,"[0.2017, 0.368]","['2024-12-12', '1987-01-12']",__nan__,0.4472555093313678
1,JHX,James Hardie Industries plc American Depositary Shares (Ireland),"James Hardie Industries plc, together with its subsidiaries, manufactures and sells fiber cement, fiber gypsum, and cement bonded building products for interior and exterior building construction applications primarily in the United States, Australia, Europe, New Zealand, the Philippines, and Canada. The company operates through three segments: North America Fiber Cement, Asia Pacific Fiber Cement, and Europe Building Products. It offers fiber cement interior linings, exterior siding products, and related accessories; and various fiber cement building materials for a range of applications, including external siding, internal walls, floors, ceilings, soffits, trim, fences, and facades. The company also provides fiber gypsum and cement-bonded boards for applications, such as timber frame construction, dry lining, DIY, and structural fire protection. Its products are used in various markets comprising new residential construction and commercial construction markets. James Hardie Industries plc was founded in 1888 and is based in Dublin, Ireland.",Mr. Aaron M. Erter,Construction Materials,34.75,USD,14923034510,https://images.financialmodelingprep.com/symbol/JHX.png,108668,34.41,-0.6,2107,976072436,510200000,"[{'period': '2024', 'revenue': 3940.0, 'unit': 'M', 'net_profit': 510.2}, {'period': '2023', 'revenue': 3780.0, 'unit': 'M', 'net_profit': 512.0}, {'period': '2022', 'revenue': 3610.0, 'unit': 'M', 'net_profit': 459.1}, {'period': '2021', 'revenue': 2910.0, 'unit': 'M', 'net_profit': 262.8}]","[{'period': ""Q2 '25"", 'revenue': 960.8, 'unit': 'M', 'net_profit': 83.4}, {'period': ""Q1 '25"", 'revenue': 990.97, 'unit': 'M', 'net_profit': 155.3}, {'period': ""Q4 '24"", 'revenue': 1000.0, 'unit': 'M', 'net_profit': 55.6}, {'period': ""Q3 '24"", 'revenue': 986.33, 'unit': 'M', 'net_profit': 145.1}, {'period': ""Q2 '24"", 'revenue': 998.8, 'unit': 'M', 'net_profit': 151.7}, {'period': ""Q1 '24"", 'revenue': 954.3, 'unit': 'M', 'net_profit': 157.8}]",1.16,1.16,4912600000,1428400000,365000000,3053700000,371200000,29400000,797700000,365000000,464900000,0.0447792520063938,-0.003515625,0.008695652173913052,"[0.3, 0.25]","['2022-05-26', '2001-12-03']",__nan__,0.6216056670602125
2,JIH,Juniper Industrial Holdings Inc. Class A Common Stock,,,,,,,,,,,,-2167955,-2786637,"[{'period': '2020', 'revenue': 0.0, 'unit': 'M', 'net_profit': -2.79}]","[{'period': ""Q1 '21"", 'revenue': 0.0, 'unit': 'M', 'net_profit': -30.12}, {'period': ""Q2 '20"", 'revenue': 0.0, 'unit': 'K', 'net_profit': -207.23}, {'period': ""Q1 '20"", 'revenue': 0.0, 'unit': 'M', 'net_profit': 1.19}]",0.0,0.0,349398602,1925699,1789687,16270296,0,0,4195296,1789687,-991698,0.0,0.0,0.0,__nan__,__nan__,__nan__,0.0465665744134832
3,JILL,J. Jill Inc. Common Stock,"J.Jill, Inc. operates as an omnichannel retailer for women's apparel under the J.Jill brand in the United States. The company offers knit and woven tops, bottoms, and dresses, as well as sweaters and outerwear; footwear; and accessories, including scarves, jewelry, and hosiery. The company markets its products through retail stores, website, and catalogs. As of March 22, 2022, it operated 253 stores. The company was founded in 1959 and is headquartered in Quincy, Massachusetts.",Ms. Claire  Spofford,Apparel - Retail,27.54,USD,415424376,https://images.financialmodelingprep.com/symbol/JILL.png,133168,9.77,0,588,99069000,36201000,"[{'period': '2023', 'revenue': 604.66, 'unit': 'M', 'net_profit': 36.2}, {'period': '2022', 'revenue': 615.27, 'unit': 'M', 'net_profit': 42.17}, {'period': '2021', 'revenue': 585.21, 'unit': 'M', 'net_profit': -28.14}, {'period': '2020', 'revenue': 421.26, 'unit': 'M', 'net_profit': -141.41}]","[{'period': ""Q2 '24"", 'revenue': 155.24, 'unit': 'M', 'net_profit': 8.19}, {'period': ""Q1 '24"", 'revenue': 161.51, 'unit': 'M', 'net_profit': 16.7}, {'period': ""Q4 '23"", 'revenue': 149.45, 'unit': 'M', 'net_profit': 4.77}, {'period': ""Q3 '23"", 'revenue': 150.12, 'unit': 'M', 'net_profit': 11.62}, {'period': ""Q2 '23"", 'revenue': 155.67, 'unit': 'M', 'net_profit': 15.22}, {'period': ""Q1 '23"", 'revenue': 149.42, 'unit': 'M', 'net_profit': 4.6}]",2.56,2.51,428180000,138129000,62172000,390962000,6821000,0,154952000,62172000,46379000,-0.05185334060696546,-0.14164789567279193,-0.15511551155115505,"[0.07, 1.15]","['2024-09-18', '2019-03-18']",__nan__,0.9130786117987763
4,JKS,JinkoSolar Holding Company Limited American Depositary Shares (each representing 4 Common Shares),"JinkoSolar Holding Co., Ltd., together with its subsidiaries, engages in the design, development, production, and marketing of photovoltaic products. The company offers solar modules, silicon wafers, solar cells, recovered silicon materials, and silicon ingots. It also provides solar system integration services; and develops commercial solar power projects. The company sells its products to distributors, project developers, system integrators, and manufacturers of solar power products under the JinkoSolar brand. As of March 31, 2022, it had an integrated annual capacity of 40 gigawatts (GW) for mono wafers; 40.0 GW for solar cells; and 50.0 GW for solar modules. The company has operations in the People's Republic of China, the United States, Mexico, Australia, Japan, United Arab Emirates, Turkey, Jordan, Vietnam, Egypt, Spain, and Germany. JinkoSolar Holding Co., Ltd. was founded in 2006 and is based in Shangrao, the People's Republic of China.",Mr. Xiande  Li,Solar,29.04,USD,1497642894,https://images.financialmodelingprep.com/symbol/JKS.png,1747504,38.72,0.26,131272,16850581000,3447443000,"[{'period': '2023', 'revenue': 118.68, 'unit': 'B', 'net_profit': 3.45}, {'period': '2022', 'revenue': 83130.0, 'unit': 'M', 'net_profit': 620.51}, {'period': '2021', 'revenue': 40830.0, 'unit': 'M', 'net_profit': 721.02}, {'period': '2020', 'revenue': 35130.0, 'unit': 'M', 'net_profit': 230.38}]","[{'period': ""Q3 '24"", 'revenue': 24510.0, 'unit': 'M', 'net_profit': 22.53}, {'period': ""Q2 '24"", 'revenue': 24050.0, 'unit': 'M', 'net_profit': -100.65}, {'period': ""Q1 '24"", 'revenue': 23040.0, 'unit': 'M', 'net_profit': 609.4}, {'period': ""Q4 '23"", 'revenue': 32830.0, 'unit': 'M', 'net_profit': 29.32}, {'period': ""Q3 '23"", 'revenue': 31.83, 'unit': 'B', 'net_profit': 1.32}, {'period': ""Q2 '23"", 'revenue': 30.69, 'unit': 'B', 'net_profit': 1.31}]",60.89,60.99,135831825000,82945199000,17084374000,102297683000,27048778000,2221762000,81060645000,16060679000,-2024490000,3.908880339024428,4.555857638765781,3.855661881977672,"[1.48, 1.48]","['2024-08-15', '2023-11-22']",__nan__,0.7531201395549239
5,JLL,Jones Lang LaSalle Incorporated Common Stock,"Jones Lang LaSalle Incorporated, a professional services company, provides real estate and investment management services in Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company offers a range of real estate services, including agency leasing and tenant representation services; and capital market services, such as debt advisory, loan sales, equity advisory, loan servicing, merger and acquisition, corporate advisory, and investment sales and advisory services. It also provides on-site management services for office, industrial, retail, multifamily residential, and specialty properties; integrated facilities management services; designing, building, management, and consulting services to tenants of leased space, owners in self-occupied buildings, and owners of real estate investments; and advisory, consulting, valuation, and energy and sustainability services. In addition, the company offers investment management services to institutional and retail investors, including high-net-worth individuals. It provides its services to real estate owners, occupiers, investors, and developers for various property types, including cultural, educational, government, healthcare, laboratory, hotel, hospitality, and sports facilities; industrial and warehouse, office, and residential properties; retail and shopping malls; critical environment, data, transportation, and sort and fulfillment centers; infrastructure projects; and military housings. The company was formerly known as LaSalle Partners Incorporated and changed its name to Jones Lang LaSalle Incorporated in March 1999. Jones Lang LaSalle Incorporated was incorporated in 1997 and is headquartered in Chicago, Illinois.",Mr. Christian  Ulbrich,Real Estate - Services,271.44,USD,12878389368,https://images.financialmodelingprep.com/symbol/JLL.png,304644,27.45,2.8,4035,915600000,225400000,"[{'period': '2023', 'revenue': 20760.0, 'unit': 'M', 'net_profit': 225.4}, {'period': '2022', 'revenue': 20860.0, 'unit': 'M', 'net_profit': 654.5}, {'period': '2021', 'revenue': 19370.0, 'unit': 'M', 'net_profit': 961.6}, {'period': '2020', 'revenue': 16590.0, 'unit': 'M', 'net_profit': 402.5}]","[{'period': ""Q3 '24"", 'revenue': 5870.0, 'unit': 'M', 'net_profit': 155.1}, {'period': ""Q2 '24"", 'revenue': 5630.0, 'unit': 'M', 'net_profit': 84.4}, {'period': ""Q1 '24"", 'revenue': 5120.0, 'unit': 'M', 'net_profit': 66.1}, {'period': ""Q4 '23"", 'revenue': 5880.0, 'unit': 'M', 'net_profit': 172.4}, {'period': ""Q3 '23"", 'revenue': 5110.0, 'unit': 'M', 'net_profit': 59.7}, {'period': ""Q2 '23"", 'revenue': 5050.0, 'unit': 'M', 'net_profit': 2.5}]",4.73,4.67,16064800000,6857000000,410000000,9654900000,5905100000,816600000,6446100000,410000000,388900000,-0.23763530391340548,-0.6556149732620321,-0.6498889711324944,"[0.43, 0.25]","['2019-11-14', '2005-09-13']",__nan__,0.6009972112942582
6,JLS,Nuveen Mortgage and Income Fund,"Nuveen Mortgage and Income Fund is a closed-ended fixed income mutual fund launched by Nuveen Investments, Inc. The fund is co-managed by Nuveen Fund Advisors LLC, Nuveen Asset Management, LLC, and Wellington Management Company LLP. It invests in the fixed income markets of the United States. The fund invests in undervalued mortgage-backed securities consisting primarily of non-agency residential mortgage-backed securities and commercial mortgage-backed securities with a favorable total return potential. It seeks to invest in below investment grade securities. The fund employs fundamental analysis with a focus on bottom-up stock picking approach based on rigorous analysis of the credit performance of the mortgage loan portfolios underlying the MBS, security structure characteristics such as the priority of payment, credit enhancement and default patterns of underlying loans, and the relative financial strength of the mortgage loan servicer to create its portfolio. It benchmarks the performance of its portfolio against Barclays Capital U.S. Aggregate Bond Index. It was formerly known as Nuveen Mortgage Opportunity Term Fund. Nuveen Mortgage and Income Fund was formed on September 10, 2009 and is domiciled in the United States.",Mr. Aashh  Parekh CFA,Asset Management - Income,18.81,USD,103015410,https://images.financialmodelingprep.com/symbol/JLS.png,17441,8.4,0.152,11343,10873310,8191376,"[{'period': '2023', 'revenue': 12.4, 'unit': 'M', 'net_profit': 8.19}, {'period': '2022', 'revenue': -12.28, 'unit': 'M', 'net_profit': -12.52}, {'period': '2021', 'revenue': 5.64, 'unit': 'M', 'net_profit': 5.44}, {'period': '2020', 'revenue': 1.02, 'unit': 'M', 'net_profit': 1.75}]","[{'period': ""Q2 '24"", 'revenue': 6.33, 'unit': 'M', 'net_profit': 8.57}, {'period': ""Q4 '23"", 'revenue': 6.97, 'unit': 'M', 'net_profit': 3.77}, {'period': ""Q2 '23"", 'revenue': 5.43, 'unit': 'M', 'net_profit': 4.42}, {'period': ""Q4 '22"", 'revenue': 3.79, 'unit': 'M', 'net_profit': 1.24}, {'period': ""Q2 '22"", 'revenue': 3.38, 'unit': 'M', 'net_profit': 5.49}, {'period': ""Q4 '21"", 'revenue': 3.68, 'unit': 'M', 'net_profit': 5.49}]",1.5,1.5,141534869,860944,1059671,38666510,802217,140673925,114281,0,15959966,1.9675790612712896,1.6542536435566761,1.6550218340611353,"[0.1535, 0.1725]","['2024-12-13', '2010-02-10']",__nan__,0.27319423314688623
7,JMIA,Jumia Technologies AG American Depositary Shares each representing two Ordinary Shares,"Jumia Technologies AG operates an e-commerce platform in West Africa, North Africa, East and South Africa, Europe, the United Arab Emirates, and internationally. The company's platform consists of marketplace that connects sellers with consumers; logistics service that enables the shipment and delivery of packages from sellers to consumers; and payment service, which facilitates transactions to participants active on the company's platform in selected markets. Its marketplace offers various products in a range of categories, such as fashion and apparel, beauty and personal care, home and living, fast moving consumer goods, smartphones, and other electronics, as well as access to various services, including restaurant food delivery, airtime recharge, and utility bills payment services. The company was formerly known as Africa Internet Holding GmbH and changed its name to Jumia Technologies AG in January 2019. Jumia Technologies AG was incorporated in 2012 and is headquartered in Berlin, Germany.",Mr. Francis  Dufay,Specialty Retail,4.635,USD,518989117,https://images.financialmodelingprep.com/symbol/JMIA.png,2893569,-5.72,0.015,390269,-85976000,-104155000,"[{'period': '2023', 'revenue': 186.4, 'unit': 'M', 'net_profit': -104.16}, {'period': '2022', 'revenue': 221.88, 'unit': 'M', 'net_profit': -237.84}, {'period': '2021', 'revenue': 177.93, 'unit': 'M', 'net_profit': -226.79}, {'period': '2020', 'revenue': 210.6, 'unit': 'M', 'net_profit': -242.78}]","[{'period': ""Q3 '24"", 'revenue': 36.43, 'unit': 'M', 'net_profit': -16.9}, {'period': ""Q2 '24"", 'revenue': 36.47, 'unit': 'M', 'net_profit': -22.0}, {'period': ""Q1 '24"", 'revenue': 48.89, 'unit': 'M', 'net_profit': -40.65}, {'period': ""Q4 '23"", 'revenue': 59.41, 'unit': 'M', 'net_profit': -17.64}, {'period': ""Q3 '23"", 'revenue': 44.89, 'unit': 'M', 'net_profit': -22.87}, {'period': ""Q2 '23"", 'revenue': 48.52, 'unit': 'M', 'net_profit': -31.88}]",-1.03,-1.03,189942000,169040000,120571000,121218000,18042000,0,117544000,35483000,-75229000,0.5504546381456829,0.5620850729262581,0.5654008438818565,__nan__,__nan__,__nan__,0.638184287835234
8,JMM,Nuveen Multi-Market Income Fund (MA),"Nuveen Multi-Market Income Fund is a closed-ended fixed income mutual fund launched by Nuveen Investments, Inc. The fund is co-managed by Nuveen Fund Advisors LLC and Nuveen Asset Management, LLC. It invests in the fixed income markets of the United States. The fund seeks to invest in securities of companies operating across diversified sectors. It primarily invests in investment grade debt securities such as U.S. agency and privately issued mortgage-backed securities, corporate debt securities, and asset-backed securities. The fund was formerly known as American Income Fund, Inc. Nuveen Multi-Market Income Fund was formed on December 30, 1988 and is domiciled in the United States.","Mr. John T. Fruit C.F.A., CFA",Asset Management - Income,6.14,USD,58098829,https://images.financialmodelingprep.com/symbol/JMM.png,8520,15.35,0.06,8013,0,3753942,"[{'period': '2023', 'revenue': 4.62, 'unit': 'M', 'net_profit': 3.75}, {'period': '2022', 'revenue': 1.82, 'unit': 'M', 'net_profit': 1.57}, {'period': '2021', 'revenue': -8.34, 'unit': 'M', 'net_profit': -8.57}, {'period': '2020', 'revenue': 6.53, 'unit': 'M', 'net_profit': 6.32}]","[{'period': ""Q4 '23"", 'revenue': 2.03, 'unit': 'M', 'net_profit': 1.17}, {'period': ""Q2 '23"", 'revenue': 1.53, 'unit': 'M', 'net_profit': 9.46}, {'period': ""Q4 '22"", 'revenue': 1.98, 'unit': 'M', 'net_profit': 9.46}, {'period': ""Q2 '22"", 'revenue': 0.95325, 'unit': 'M', 'net_profit': 9.46}, {'period': ""Q1 '22"", 'revenue': 999.7, 'unit': 'K', 'net_profit': -154.88}, {'period': ""Q4 '21"", 'revenue': 1.06, 'unit': 'M', 'net_profit': -8.87}]",0.4,0.4,86017662,3194596,70890,25022268,614960,84551854,25963374,70890,4898524,-1.0,1.3953834874234043,1.352941176470588,"[0.029, 0.11]","['2024-12-13', '1989-03-09']",__nan__,0.2908968625536463
9,JMP,JMP Group LLC Common Shares,"JMP Group LLC provides investment banking, sales and trading, and equity research services to corporate and institutional clients, and alternative asset management products and services to institutional investors and high net-worth individuals. The company is headquartered in San Francisco, California and currently employs 226 full-time employees. The firm operates in five segments: Broker-Dealer, Asset Management, Corporate Credit, Investment Income and Corporate Costs. The Broker-Dealer segment includes a range of services, such as underwriting and acting as a placement agent for public and private capital markets raising transactions and financial advisory services in mergers and acquisitions, restructuring and other strategic transactions. The Asset Management segment includes the management of a range of pooled investment vehicles. The Corporate Credit segment includes the management of collateralized loan obligations and small business loans. The Investment Income segment includes income from the Company's principal investments in public and private securities.",Mr. Joseph Andrew Jolson,Financial - Capital Markets,7.5,USD,0,https://images.financialmodelingprep.com/symbol/JMP.png,81719,0,0.02,41783,192000,-4697000,"[{'period': '2020', 'revenue': 108.7, 'unit': 'M', 'net_profit': -4.7}, {'period': '2019', 'revenue': 98.27, 'unit': 'M', 'net_profit': -6.55}, {'period': '2018', 'revenue': 141.29, 'unit': 'M', 'net_profit': -2.19}, {'period': '2017', 'revenue': 117.65, 'unit': 'M', 'net_profit': -15.88}]","[{'period': ""Q3 '21"", 'revenue': 73.11, 'unit': 'M', 'net_profit': 21.82}, {'period': ""Q2 '21"", 'revenue': 46.77, 'unit': 'M', 'net_profit': 3.63}, {'period': ""Q1 '21"", 'revenue': 36.7, 'unit': 'M', 'net_profit': 1.09}, {'period': ""Q4 '20"", 'revenue': 51.94, 'unit': 'M', 'net_profit': 9.01}, {'period': ""Q3 '20"", 'revenue': 25.01, 'unit': 'M', 'net_profit': -3.08}, {'period': ""Q2 '20"", 'revenue': 29.35, 'unit': 'M', 'net_profit': 1.12}]",-0.24,-0.24,241863000,109789000,91444000,178923000,18345000,82315000,7432000,91444000,26713000,-0.9595022147226323,0.2827912658421133,0.25000000000000006,"[0.25, 0.025]","['2021-11-12', '2007-08-21']",__nan__,0.7397700351025167
